DATA FILE;C:\Program Files\CRA\data\Akce Dobøichovice _ èervenec2019_ No.3.cor
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(722 hours)
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval)
AVERAGING POINTS;7
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm)
TIME (column B) is in units of:;HOURS;(Since the 'Start time')
RADON CONCENTRATION (column C) is in units of:; Bq/m3
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C)
;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING
DATA_TAG_VAR5_TIMEFORMAT EN;0,0;125;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;2,0;163;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;4,0;138;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;6,0;182;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;8,0;160;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;10,0;182;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;12,0;231;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;14,0;243;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;16,0;206;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;18,0;192;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;20,0;121;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;22,0;102;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;24,0;61;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;26,0;10;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;28,0;52;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;30,0;45;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;32,0;104;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;34,0;121;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;36,0;175;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;38,0;199;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;40,0;235;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;42,0;204;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;44,0;195;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;46,0;154;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;48,0;129;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;50,0;100;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;52,0;74;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;54,0;48;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;56,0;75;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;58,0;117;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;60,0;161;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;62,0;173;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;64,0;166;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;66,0;166;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;68,0;162;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;70,0;120;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;72,0;89;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;74,0;63;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;76,0;45;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;78,0;57;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;80,0;54;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;82,0;121;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;84,0;163;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;86,0;162;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;88,0;204;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;90,0;200;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;92,0;187;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;94,0;181;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;96,0;108;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;98,0;60;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;100,0;75;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;102,0;0;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;104,0;51;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;106,0;59;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;108,0;119;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;110,0;125;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;112,0;173;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;114,0;136;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;116,0;161;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;118,0;104;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;120,0;88;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;122,0;34;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;124,0;40;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;126,0;8;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;128,0;59;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;130,0;58;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;132,0;112;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;134,0;118;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;136,0;145;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;138,0;140;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;140,0;128;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;142,0;101;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;144,0;81;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;146,0;80;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;148,0;71;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;150,0;67;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;152,0;71;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;154,0;80;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;156,0;118;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;158,0;142;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;160,0;140;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;162,0;119;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;164,0;127;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;166,0;99;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;168,0;92;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;170,0;55;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;172,0;42;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;174,0;50;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;176,0;79;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;178,0;46;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;180,0;107;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;182,0;87;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;184,0;126;14,00
DATA_TAG_VAR5_TIMEFORMAT EN;186,0;97;14,00
