DATA FILE;C:\Program Files\CRA\data\Akce Skála 23.5.-5.6.2019.cor;;;;
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN;;;;
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(722 hours);;;
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval);;;
AVERAGING POINTS;3;;;;
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm);;;
TIME (column B) is in units of:;HOURS;(Since the 'Start time');;;
RADON CONCENTRATION (column C) is in units of:; Bq/m3;;;;
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C);;;
;;;;;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING;;
DATA_TAG_VAR5_TIMEFORMAT EN;0;7556;6;;9.7.2019 12:28
DATA_TAG_VAR5_TIMEFORMAT EN;2;7405;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;4;6866;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;6;5355;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;8;3921;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;10;3043;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;12;2737;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;14;2459;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;16;2117;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;18;2009;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;20;1992;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;22;1846;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;24;1909;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;26;1792;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;28;1867;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;30;2242;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;32;2584;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;34;2888;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;36;2483;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;38;2241;6;;
DATA_TAG_VAR5_TIMEFORMAT EN;40;1940;6;;
