DATA FILE;C:\Program Files\CRA\data\Akce Dobøichovice _ èervenec2019_ No.2.cor
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(722 hours)
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval)
AVERAGING POINTS;3
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm)
TIME (column B) is in units of:;HOURS;(Since the 'Start time')
RADON CONCENTRATION (column C) is in units of:; Bq/m3
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C)
;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING
DATA_TAG_VAR5_TIMEFORMAT EN;0,0;7965;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;2,0;7644;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;4,0;7194;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;6,0;5859;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;8,0;4345;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;10,0;3089;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;12,0;2604;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;14,0;2418;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;16,0;2141;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;18,0;2143;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;20,0;2126;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;22,0;2199;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;24,0;2400;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;26,0;2489;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;28,0;2776;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;30,0;2633;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;32,0;2874;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;34,0;2540;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;36,0;2592;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;38,0;2151;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;40,0;1980;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;42,0;1797;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;44,0;2060;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;46,0;2453;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;48,0;2568;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;50,0;2674;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;52,0;2653;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;54,0;2922;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;56,0;3136;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;58,0;3272;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;60,0;2859;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;62,0;2728;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;64,0;2646;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;66,0;2601;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;68,0;2814;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;70,0;2345;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;72,0;2956;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;74,0;2410;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;76,0;3052;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;78,0;2517;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;80,0;2970;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;82,0;2621;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;84,0;2674;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;86,0;2283;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;88,0;1982;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;90,0;1901;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;92,0;1736;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;94,0;2435;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;96,0;2739;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;98,0;3022;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;100,0;2675;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;102,0;2590;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;104,0;2605;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;106,0;2750;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;108,0;2534;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;110,0;2301;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;112,0;2091;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;114,0;2106;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;116,0;2150;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;118,0;2401;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;120,0;2705;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;122,0;2819;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;124,0;2475;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;126,0;2381;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;128,0;2325;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;130,0;2446;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;132,0;2621;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;134,0;2420;6,00
