DATA FILE;C:\Program Files\CRA\data\Akce HuSk_ No.2_ 2019.cor
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(984 hours)
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval)
AVERAGING POINTS;3
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm)
TIME (column B) is in units of:;HOURS;(Since the 'Start time')
RADON CONCENTRATION (column C) is in units of:; Bq/m3
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C)
;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING
DATA_TAG_VAR5_TIMEFORMAT EN;0,0;4156;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;2,0;4481;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;4,0;4327;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;6,0;3420;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;8,0;2502;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;10,0;1867;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;12,0;1153;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;14,0;872;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;16,0;791;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;18,0;900;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;20,0;906;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;22,0;930;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;24,0;996;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;26,0;1080;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;28,0;927;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;30,0;838;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;32,0;730;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;34,0;965;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;36,0;833;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;38,0;1031;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;40,0;932;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;42,0;1064;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;44,0;843;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;46,0;911;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;48,0;770;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;50,0;537;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;52,0;251;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;54,0;71;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;56,0;147;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;58,0;189;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;60,0;313;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;62,0;262;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;64,0;248;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;66,0;221;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;68,0;247;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;70,0;406;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;72,0;504;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;74,0;562;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;76,0;446;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;78,0;296;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;80,0;347;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;82,0;313;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;84,0;404;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;86,0;400;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;88,0;444;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;90,0;411;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;92,0;420;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;94,0;512;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;96,0;645;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;98,0;624;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;100,0;459;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;102,0;504;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;104,0;587;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;106,0;825;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;108,0;864;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;110,0;872;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;112,0;914;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;114,0;814;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;116,0;570;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;118,0;367;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;120,0;282;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;122,0;261;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;124,0;175;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;126,0;6;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;128,0;114;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;130,0;41;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;132,0;108;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;134,0;39;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;136,0;125;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;138,0;21;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;140,0;53;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;142,0;0;6,00
