DATA FILE;C:\Program Files\CRA\data\Akce HuSk_ No.1_ 2019.cor
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(984 hours)
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval)
AVERAGING POINTS;3
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm)
TIME (column B) is in units of:;HOURS;(Since the 'Start time')
RADON CONCENTRATION (column C) is in units of:; Bq/m3
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C)
;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING
DATA_TAG_VAR5_TIMEFORMAT EN;0,0;4716;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;2,0;4221;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;4,0;3247;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;6,0;1005;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;8,0;224;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;10,0;37;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;12,0;251;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;14,0;276;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;16,0;432;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;18,0;317;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;20,0;420;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;22,0;149;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;24,0;245;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;26,0;225;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;28,0;358;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;30,0;417;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;32,0;368;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;34,0;316;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;36,0;143;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;38,0;149;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;40,0;78;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;42,0;79;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;44,0;221;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;46,0;382;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;48,0;591;6,00
