id;Datum/Čas;Teplota[°C];Vlhkost[%rv]
1;9.7.2019 8:46:00;24,60;60,50
2;9.7.2019 9:16:00;24,80;30,80
3;9.7.2019 9:46:00;24,30;31,50
4;9.7.2019 10:16:00;24,20;30,40
5;9.7.2019 10:46:00;24,10;31,30
6;9.7.2019 11:16:00;23,80;30,50
7;9.7.2019 11:46:00;23,30;30,90
8;9.7.2019 12:16:00;22,30;31,80
9;9.7.2019 12:46:00;21,70;34,60
10;9.7.2019 13:16:00;20,00;45,50
11;9.7.2019 13:46:00;18,20;51,10
12;9.7.2019 14:16:00;18,10;51,10
13;9.7.2019 14:46:00;18,00;51,90
14;9.7.2019 15:16:00;18,00;53,20
15;9.7.2019 15:46:00;18,00;53,70
16;9.7.2019 16:16:00;18,00;54,70
17;9.7.2019 16:46:00;18,10;55,20
18;9.7.2019 17:16:00;18,00;55,00
19;9.7.2019 17:46:00;18,10;55,70
20;9.7.2019 18:16:00;18,10;56,00
21;9.7.2019 18:46:00;18,10;56,40
22;9.7.2019 19:16:00;18,10;55,60
23;9.7.2019 19:46:00;18,10;57,10
24;9.7.2019 20:16:00;18,10;57,40
25;9.7.2019 20:46:00;18,10;57,10
26;9.7.2019 21:16:00;18,10;57,80
27;9.7.2019 21:46:00;18,10;58,60
28;9.7.2019 22:16:00;18,10;59,10
29;9.7.2019 22:46:00;18,10;59,50
30;9.7.2019 23:16:00;18,10;59,80
31;9.7.2019 23:46:00;18,10;60,10
32;10.7.2019 0:16:00;18,10;60,40
33;10.7.2019 0:46:00;18,10;60,70
34;10.7.2019 1:16:00;18,10;61,00
35;10.7.2019 1:46:00;18,10;61,30
36;10.7.2019 2:16:00;18,10;61,60
37;10.7.2019 2:46:00;18,10;61,70
38;10.7.2019 3:16:00;18,10;61,80
39;10.7.2019 3:46:00;18,00;62,00
40;10.7.2019 4:16:00;18,00;62,10
41;10.7.2019 4:46:00;18,00;62,10
42;10.7.2019 5:16:00;18,00;62,10
