zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
#211,09.07.2019 13:17,70.3,16.257133150124275,24,34
#212,09.07.2019 14:17,129.5,23.81163931077965,24,34
#213,09.07.2019 15:17,129.5,23.81163931077965,24,34
#214,09.07.2019 16:17,134.125,24.459271958469493,24,35
#215,09.07.2019 17:17,149.85,26.312795247749715,24,35
#216,09.07.2019 18:17,121.17500000000001,22.876423351401858,24,35
#217,09.07.2019 19:17,89.72500000000001,18.92384242918131,24,35
#218,09.07.2019 20:17,111.92500000000001,21.75430969435201,24,35
#219,09.07.2019 21:17,68.45,16.119145942297653,24,35
#220,09.07.2019 22:17,81.4,17.65405126099746,23,35
#221,09.07.2019 23:17,99.9,20.055539021790107,23,35
#222,10.07.2019 00:17,104.525,20.75071744861736,23,36
#223,10.07.2019 01:17,135.05,24.43146425113619,23,36
#224,10.07.2019 02:17,157.25,27.05789702964121,23,36
#225,10.07.2019 03:17,169.275,28.416941079942248,23,36
#226,10.07.2019 04:17,218.3,34.01959792321395,23,37
#227,10.07.2019 05:17,187.775,30.352847029269892,22,37
#228,10.07.2019 06:17,209.05,32.71666136385407,22,37
#229,10.07.2019 07:17,239.57500000000002,36.06238675146205,22,37
#230,10.07.2019 08:17,184.07500000000002,30.218114710777854,23,37
#231,10.07.2019 09:17,143.375,25.542943513135235,23,37
#232,10.07.2019 10:17,71.22500000000001,16.471042796836436,23,37
#233,10.07.2019 11:17,46.25,12.8060451219987,23,37
#234,10.07.2019 12:17,43.475,12.405892069323926,24,36
#235,10.07.2019 13:17,47.175000000000004,13.062166024438673,24,36
236,10.07.2019 14:17,30.525000000000002,10.123997172559859,24,35
237,10.07.2019 15:17,14.8,6.7822120285346434,24,35
238,10.07.2019 16:17,5.550000000000001,3.9634927778412816,24,34
239,10.07.2019 17:17,39.775,11.726751816810866,24,34
240,10.07.2019 18:17,37.925000000000004,11.586278882080018,25,34
241,10.07.2019 19:17,31.450000000000003,10.430784965667732,25,35
242,10.07.2019 20:17,60.125,15.047064049613065,25,35
243,10.07.2019 21:17,62.900000000000006,15.407290482106191,24,36
244,10.07.2019 22:17,78.625,17.581084473092098,24,36
245,10.07.2019 23:17,107.30000000000001,21.301621451678,24,36
246,11.07.2019 00:17,103.60000000000001,20.798336763337883,24,36
247,11.07.2019 01:17,156.32500000000002,27.259854380422446,24,37
248,11.07.2019 02:17,127.65,23.881128271084684,24,37
249,11.07.2019 03:17,249.75,37.72838339316354,24,37
250,11.07.2019 04:17,218.3,34.01959792321395,23,37
251,11.07.2019 05:17,177.60000000000002,29.475104928164647,23,37
252,11.07.2019 06:17,239.57500000000002,36.45784838975727,23,38
253,11.07.2019 07:17,236.8,36.1717974855181,23,38
254,11.07.2019 08:17,183.15,30.228839150376093,23,38
255,11.07.2019 09:17,148.0,26.17408170674741,23,38
256,11.07.2019 10:17,163.725,27.99207681511104,23,38
257,11.07.2019 11:17,116.55000000000001,22.653248111473992,24,38
258,11.07.2019 12:17,86.025,18.657122355372312,24,37
259,11.07.2019 13:17,63.825,15.633868283313635,24,37
260,11.07.2019 14:17,22.200000000000003,8.679522699187686,25,37
261,11.07.2019 15:17,54.575,14.317335915616015,25,36
262,11.07.2019 16:17,28.675,9.979192971433669,25,36
263,11.07.2019 17:17,12.950000000000001,6.603230270102657,25,36
264,11.07.2019 18:17,22.200000000000003,8.679522699187686,25,37
265,11.07.2019 19:17,32.375,10.737572758775608,25,37
266,11.07.2019 20:17,36.075,11.45965350796992,25,37
267,11.07.2019 21:17,61.975,15.510050635755004,25,37
268,11.07.2019 22:17,83.25,18.615265912685754,25,38
269,11.07.2019 23:17,74.0,17.11277173697292,24,38
270,12.07.2019 00:17,97.125,20.218181019814814,24,38
271,12.07.2019 01:17,106.375,21.355435069498718,24,38
272,12.07.2019 02:17,123.95,23.62078224672859,24,39
273,12.07.2019 03:17,144.3,26.104852213542774,24,39
274,12.07.2019 04:17,160.025,27.90505803439694,24,39
275,12.07.2019 05:17,203.5,32.89471106620382,24,39
276,12.07.2019 06:17,233.10000000000002,36.17521778358965,24,39
277,12.07.2019 07:17,190.55,31.281063469448434,23,40
278,12.07.2019 08:17,205.35000000000002,33.030734767572376,23,41
279,12.07.2019 09:17,130.425,24.400283233499568,23,41
280,12.07.2019 10:17,118.4,23.012823478322787,23,42
281,12.07.2019 11:17,74.925,17.643930017920404,24,43
282,12.07.2019 12:17,97.125,20.76619849659538,24,44
283,12.07.2019 13:17,34.225,11.351148344991357,24,45
284,12.07.2019 14:17,24.975,9.764463036586147,25,45
285,12.07.2019 15:17,28.675,10.535867756146146,25,45
286,12.07.2019 16:17,35.15,11.657936138099231,25,45
287,12.07.2019 17:17,13.875,7.074889575109989,25,45
288,12.07.2019 18:17,42.550000000000004,12.999239721358068,25,45
289,12.07.2019 19:17,53.650000000000006,14.85501234151849,25,45
290,12.07.2019 20:17,90.65,19.9556742942568,24,45
291,12.07.2019 21:17,73.075,17.54089956189466,24,45
292,12.07.2019 22:17,111.92500000000001,22.732074960971996,24,45
293,12.07.2019 23:17,129.5,24.91891851585859,24,45
294,13.07.2019 00:17,157.25,28.22723886406336,24,45
295,13.07.2019 01:17,213.675,34.71376612093797,24,45
296,13.07.2019 02:17,218.3,34.945050525789775,23,45
297,13.07.2019 03:17,238.65,37.19091637368305,23,45
298,13.07.2019 04:17,234.95000000000002,36.77005303725192,23,45
299,13.07.2019 05:17,262.7,39.82917799152425,23,45
300,13.07.2019 06:17,238.65,37.19091637368305,23,45
301,13.07.2019 07:17,248.82500000000002,38.305014779756945,23,45
302,13.07.2019 08:17,206.275,33.684566446173335,23,46
303,13.07.2019 09:17,103.60000000000001,21.296809998894958,22,46
304,13.07.2019 10:17,83.25,18.615265912685754,22,46
305,13.07.2019 11:17,132.275,24.971973582064624,22,47
306,13.07.2019 12:17,118.4,23.505237463920547,23,47
307,13.07.2019 13:17,138.75,25.95774812074422,23,47
308,13.07.2019 14:17,121.17500000000001,23.79829756441174,23,47
309,13.07.2019 15:17,160.025,28.509220824338037,23,47
310,13.07.2019 16:17,152.625,27.610901379708707,23,47
311,13.07.2019 17:17,156.32500000000002,28.061196282510046,23,47
312,13.07.2019 18:17,124.875,24.271337262293564,23,47
313,13.07.2019 19:17,120.25,23.616631170790278,23,46
314,13.07.2019 20:17,168.35,29.356766255839556,23,46
315,13.07.2019 21:17,99.9,21.069845178882282,23,46
316,13.07.2019 22:17,116.55000000000001,23.13796812854679,23,46
317,13.07.2019 23:17,161.875,28.627901866754982,23,46
318,14.07.2019 00:17,178.525,30.522434041335767,23,46
319,14.07.2019 01:17,161.875,28.627901866754982,23,46
320,14.07.2019 02:17,167.425,28.998860645721933,22,46
321,14.07.2019 03:17,274.725,40.928605691764666,22,46
322,14.07.2019 04:17,261.77500000000003,39.54493518616771,22,46
323,14.07.2019 05:17,218.3,34.780756947573096,22,46
324,14.07.2019 06:17,339.475,47.89003327614833,22,46
325,14.07.2019 07:17,265.475,39.961023157025515,22,46
326,14.07.2019 08:17,159.1,28.137137834753467,22,47
327,14.07.2019 09:17,142.45000000000002,26.192803241857614,22,47
328,14.07.2019 10:17,102.67500000000001,21.10665990961911,21,48
329,14.07.2019 11:17,65.675,16.436023808038886,22,49
330,14.07.2019 12:17,51.800000000000004,14.342770536638543,22,50
331,14.07.2019 13:17,20.35,8.553457877763044,22,50
332,14.07.2019 14:17,24.05,9.402816257453328,22,50
333,14.07.2019 15:17,27.75,10.196001054334978,22,50
334,14.07.2019 16:17,60.125,15.773336178221033,23,49
335,14.07.2019 17:17,49.025000000000006,13.98962297179081,23,49
336,14.07.2019 18:17,71.22500000000001,17.446490692973185,23,50
337,14.07.2019 19:17,71.22500000000001,17.446490692973185,23,50
338,14.07.2019 20:17,96.2,20.863878762996997,23,50
339,14.07.2019 21:17,82.325,19.037958557382375,23,50
340,14.07.2019 22:17,103.60000000000001,21.850209815137184,23,50
341,14.07.2019 23:17,124.875,24.271337262293564,22,50
342,15.07.2019 00:17,138.75,25.95774812074422,22,50
343,15.07.2019 01:17,181.3,30.99687602125291,22,50
344,15.07.2019 02:17,163.725,28.955077888089328,22,50
345,15.07.2019 03:17,213.675,34.53944661951402,22,49
346,15.07.2019 04:17,248.82500000000002,38.458468702361984,22,49
347,15.07.2019 05:17,221.07500000000002,35.38926726976168,22,49
348,15.07.2019 06:17,283.05,42.168866470302994,22,49
349,15.07.2019 07:17,279.35,41.75855419500046,22,49
350,15.07.2019 08:17,217.375,34.96496698369148,22,49
351,15.07.2019 09:17,161.875,28.627901866754982,22,49
352,15.07.2019 10:17,103.60000000000001,21.566059754469137,22,49
353,15.07.2019 11:17,123.95,24.34329674527613,23,49
354,15.07.2019 12:17,112.85000000000001,22.919943349079208,23,49
355,15.07.2019 13:17,112.85000000000001,22.919943349079208,23,49
356,15.07.2019 14:17,115.625,23.212429423368174,23,48
357,15.07.2019 15:17,37.925000000000004,12.047328046840173,23,47
358,15.07.2019 16:17,31.450000000000003,10.944921323507895,24,46
359,15.07.2019 17:17,16.650000000000002,7.629988532101474,24,45
360,15.07.2019 18:17,31.450000000000003,10.944921323507895,24,46
361,15.07.2019 19:17,31.450000000000003,10.944921323507895,24,46
362,15.07.2019 20:17,35.15,11.657936138099231,24,46
363,15.07.2019 21:17,41.625,12.716647553502456,24,46
364,15.07.2019 22:17,52.725,14.598891439078518,24,46
365,15.07.2019 23:17,62.900000000000006,16.104802251364518,24,46
366,16.07.2019 00:17,148.0,27.213302069462458,24,46
367,16.07.2019 01:17,103.60000000000001,21.566059754469137,23,47
368,16.07.2019 02:17,135.05,25.495861139730316,23,47
369,16.07.2019 03:17,166.5,29.236439164166352,23,47
370,16.07.2019 04:17,219.22500000000002,35.26254117078672,23,47
371,16.07.2019 05:17,197.95000000000002,32.85246070118351,23,47
372,16.07.2019 06:17,215.525,34.838489447388596,23,47
373,16.07.2019 07:17,171.125,29.44535853225661,22,46
374,16.07.2019 08:17,122.10000000000001,23.731974212020376,22,47
375,16.07.2019 09:17,135.05,25.265541504191038,22,47
376,16.07.2019 10:17,159.1,28.137137834753467,22,47
377,16.07.2019 11:17,159.1,28.137137834753467,22,47
378,16.07.2019 12:17,116.55000000000001,23.13796812854679,23,46
379,16.07.2019 13:17,61.975,15.867966924138567,23,46
380,16.07.2019 14:17,61.050000000000004,15.63113159691262,23,45
381,16.07.2019 15:17,10.175,5.962005919431255,24,45
382,16.07.2019 16:17,16.650000000000002,7.629988532101474,24,44
383,16.07.2019 17:17,27.75,10.196001054334978,24,44
384,16.07.2019 18:17,48.1,13.725667821379663,24,44
385,16.07.2019 19:17,27.75,10.196001054334978,24,44
386,16.07.2019 20:17,41.625,12.716647553502456,24,44
387,16.07.2019 21:17,72.15,17.318862858579536,24,44
388,16.07.2019 22:17,65.675,16.436023808038886,24,44
389,16.07.2019 23:17,72.15,17.318862858579536,24,44
390,17.07.2019 00:17,121.17500000000001,23.79829756441174,24,44
391,17.07.2019 01:17,125.80000000000001,24.451124945717964,24,45
392,17.07.2019 02:17,119.325,23.434964777168815,23,45
393,17.07.2019 03:17,122.10000000000001,23.731974212020376,23,45
394,17.07.2019 04:17,156.32500000000002,27.850048088515194,23,45
395,17.07.2019 05:17,234.95000000000002,36.77005303725192,23,45
396,17.07.2019 06:17,259.0,39.413890151088935,23,45
397,17.07.2019 07:17,228.47500000000002,36.07111110879639,23,45
398,17.07.2019 08:17,91.575,19.86080766862214,23,45
399,17.07.2019 09:17,105.45,21.677110177446657,23,45
400,17.07.2019 10:17,47.175000000000004,13.461712670968517,23,45
401,17.07.2019 11:17,26.825000000000003,9.856134352523812,23,45
402,17.07.2019 12:17,23.125,9.041169478320507,23,45
403,17.07.2019 13:17,37.925000000000004,12.047328046840173,24,45
404,17.07.2019 14:17,20.35,8.553457877763044,24,45
405,17.07.2019 15:17,31.450000000000003,10.944921323507895,24,45
406,17.07.2019 16:17,24.05,9.402816257453328,24,45
407,17.07.2019 17:17,16.650000000000002,7.629988532101474,24,45
408,17.07.2019 18:17,21.275000000000002,8.942251417661366,25,44
409,17.07.2019 19:17,17.575,8.05387678388489,25,44
410,17.07.2019 20:17,31.450000000000003,10.944921323507895,25,44
411,17.07.2019 21:17,31.450000000000003,10.944921323507895,25,44
412,17.07.2019 22:17,24.05,9.402816257453328,25,44
413,17.07.2019 23:17,65.675,16.436023808038886,24,44
414,18.07.2019 00:17,86.95,19.442611064360673,24,45
415,18.07.2019 01:17,104.525,21.758613859419754,24,45
416,18.07.2019 02:17,100.825,21.26493633794601,24,45
417,18.07.2019 03:17,167.425,29.3988638261895,24,45
418,18.07.2019 04:17,178.525,30.718671333651496,24,45
419,18.07.2019 05:17,122.10000000000001,23.731974212020376,23,45
420,18.07.2019 06:17,177.60000000000002,30.364286714696725,23,45
421,18.07.2019 07:17,218.3,34.945050525789775,23,45
422,18.07.2019 08:17,153.55,27.563068537850103,23,45
423,18.07.2019 09:17,80.47500000000001,18.610139263958054,24,45
424,18.07.2019 10:17,69.375,16.993335090558297,24,45
425,18.07.2019 11:17,38.85,12.341165316275298,25,44
426,18.07.2019 12:17,77.7,18.297408907473013,25,44
427,18.07.2019 13:17,64.75,16.578472905816415,26,44
428,18.07.2019 14:17,32.375,11.2668307741993,26,44
429,18.07.2019 15:17,42.550000000000004,12.999239721358068,26,43
430,18.07.2019 16:17,46.25,13.635757926524262,26,43
431,18.07.2019 17:17,28.675,10.535867756146146,26,43
432,18.07.2019 18:17,57.35,15.441960084458191,26,43
433,18.07.2019 19:17,51.800000000000004,14.781488423024253,27,43
434,18.07.2019 20:17,70.3,17.593490273393737,27,43
435,18.07.2019 21:17,72.15,17.67306849418063,26,44
436,18.07.2019 22:17,75.85000000000001,18.20700967184003,26,44
437,18.07.2019 23:17,105.45,22.240392133264635,26,44
438,19.07.2019 00:17,83.25,19.25186820409454,26,44
