zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
#214,09.07.2019 13:06,8319.262,840.8164524561881,19,33
#215,09.07.2019 14:06,15537.942000000001,1562.8164230817563,18,36
#216,09.07.2019 15:06,15668.625,1576.1044257283688,18,38
#217,09.07.2019 16:06,12662.916000000001,1275.741668398699,18,40
#218,09.07.2019 17:06,9883.902,997.9363960526742,18,41
#219,09.07.2019 18:06,7617.841,771.4200015927328,18,42
#220,09.07.2019 19:06,5763.387,586.0584190070475,18,43
#221,09.07.2019 20:06,4518.787,461.77647293211373,18,45
#222,09.07.2019 21:06,4014.724,411.4558336754684,18,46
#223,09.07.2019 22:06,3503.549,360.4188330337487,18,47
#224,09.07.2019 23:06,3242.183,334.365248316149,18,48
#225,10.07.2019 00:06,3146.171,324.85454459239344,18,49
#226,10.07.2019 01:06,2927.477,303.0661301754837,18,50
#227,10.07.2019 02:06,2696.337,279.936613501666,18,50
#228,10.07.2019 03:06,2678.5570000000002,278.2495949686516,18,51
#229,10.07.2019 04:06,2642.997,274.78350816049806,18,52
#230,10.07.2019 05:06,2557.6530000000002,266.24320572388507,18,52
#231,10.07.2019 06:06,2508.758,261.4391291957274,18,53
#232,10.07.2019 07:06,2397.633,250.40566164372584,18,54
#233,10.07.2019 08:06,2221.611,232.78658667605055,18,54
#234,10.07.2019 09:06,2246.503,235.36407800034047,18,55
#235,10.07.2019 10:06,2233.168,234.0283166656545,18,55
#236,10.07.2019 11:06,2219.833,232.69252951697777,18,55
#237,10.07.2019 12:06,2242.947,235.09458683798934,18,56
#238,10.07.2019 13:06,2202.942,231.08867947590403,18,56
239,10.07.2019 14:06,2305.177,241.3256419960692,18,56
240,10.07.2019 15:06,2229.612,233.8436793586348,18,57
241,10.07.2019 16:06,2490.978,260.0091278185819,18,57
242,10.07.2019 17:06,2557.6530000000002,266.68165438511136,18,57
243,10.07.2019 18:06,2614.549,272.46367078831827,18,58
244,10.07.2019 19:06,2499.868,260.9852682851113,18,58
245,10.07.2019 20:06,2534.539,264.53661243809773,18,59
246,10.07.2019 21:06,2734.564,284.5589507684329,18,59
247,10.07.2019 22:06,2923.921,303.5903122669054,18,60
248,10.07.2019 23:06,2974.594,308.6628239743138,18,60
249,11.07.2019 00:06,3022.6,313.4668935795179,18,60
250,11.07.2019 01:06,2976.372,308.83887976401076,18,60
251,11.07.2019 02:06,2759.456,287.21328661114086,18,61
252,11.07.2019 03:06,2759.456,287.21328661114086,18,61
253,11.07.2019 04:06,2458.085,257.0486335813944,18,61
254,11.07.2019 05:06,2437.638,255.00299040220378,18,61
255,11.07.2019 06:06,2359.406,247.17138685467248,18,61
256,11.07.2019 07:06,2336.292,244.8569103510048,18,61
257,11.07.2019 08:06,2361.184,247.4330923886247,18,62
258,11.07.2019 09:06,2305.177,241.82422073319836,18,62
259,11.07.2019 10:06,2386.076,249.9222268519347,18,62
260,11.07.2019 11:06,2678.5570000000002,279.27833155726694,18,63
261,11.07.2019 12:06,2632.329,274.65328762830245,18,63
262,11.07.2019 13:06,2691.003,280.52725608145533,18,63
263,11.07.2019 14:06,2501.646,261.5726108366662,18,63
264,11.07.2019 15:06,2490.089,260.41625440338106,18,63
265,11.07.2019 16:06,2490.978,260.58292454667213,18,64
266,11.07.2019 17:06,2472.309,258.71470817505474,18,64
267,11.07.2019 18:06,2625.217,274.02104013143196,18,64
268,11.07.2019 19:06,2524.76,264.04218582849063,18,65
269,11.07.2019 20:06,2728.341,284.41960651271444,18,65
270,11.07.2019 21:06,2726.563,284.2441019372024,18,65
