zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
883	05.06.2019 12:28	233	1	8	79	0	25	50	10	1
882	05.06.2019 13:28	96	2	11	25	0	25	50	9	1
881	05.06.2019 14:28	107	2	19	22	0	24	50	9	1
880	05.06.2019 15:28	129	3	32	18	0	24	49	9	1
879	05.06.2019 16:28	140	1	27	26	0	25	49	9	1
878	05.06.2019 17:28	184	6	34	38	0	24	48	9	1
877	05.06.2019 18:28	251	3	58	40	0	24	48	9	1
876	05.06.2019 19:28	331	5	68	61	0	24	48	9	1
875	05.06.2019 20:28	290	2	56	57	0	24	48	9	1
874	05.06.2019 21:28	308	7	44	76	0	24	48	9	1
873	05.06.2019 22:28	233	2	37	54	0	24	48	9	1
872	05.06.2019 23:28	202	2	36	43	0	24	48	9	1
871	06.06.2019 00:28	178	6	30	39	0	24	49	9	1
870	06.06.2019 01:28	147	3	21	36	1	24	49	9	1
869	06.06.2019 02:28	72	1	10	18	0	24	49	9	1
868	06.06.2019 03:28	91	1	16	19	0	24	50	9	1
867	06.06.2019 04:28	99	1	20	18	0	24	50	9	1
866	06.06.2019 05:28	99	2	20	18	0	24	50	9	1
865	06.06.2019 06:28	162	3	34	28	0	24	50	9	1
864	06.06.2019 07:28	109	1	19	23	0	24	50	9	1
863	06.06.2019 08:28	54	1	9	12	0	24	50	9	1
862	06.06.2019 09:28	65	0	10	15	0	24	50	9	1
861	06.06.2019 10:28	52	2	7	13	0	24	50	9	1
860	06.06.2019 11:28	33	1	8	5	0	24	50	9	1
859	06.06.2019 12:28	41	0	4	12	0	24	50	9	1
858	06.06.2019 13:28	31	1	5	7	0	24	50	9	1
857	06.06.2019 14:28	41	0	12	4	1	24	50	9	1
856	06.06.2019 15:28	75	2	14	15	0	24	50	9	1
855	06.06.2019 16:28	49	1	7	12	0	24	50	9	1
854	06.06.2019 17:28	81	0	21	10	0	24	50	9	1
853	06.06.2019 18:28	92	1	18	17	0	24	51	9	1
852	06.06.2019 19:28	134	2	27	24	0	24	51	9	1
851	06.06.2019 20:28	200	3	46	30	0	24	51	9	1
850	06.06.2019 21:28	192	6	28	45	0	24	51	9	1
849	06.06.2019 22:28	211	3	44	36	0	24	51	9	1
