zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
310,05.06.2019 12:36,279.35,41.4796587069588,25,39
311,05.06.2019 13:36,146.15,26.439529806024098,24,40
312,05.06.2019 14:36,150.775,27.064940793190164,24,41
313,05.06.2019 15:36,335.77500000000003,47.60551839072862,24,42
314,05.06.2019 16:36,291.375,42.85085906746524,24,42
315,05.06.2019 17:36,383.875,52.81396199371161,24,43
316,05.06.2019 18:36,363.52500000000003,50.67747413583018,24,43
317,05.06.2019 19:36,407.925,55.3386931600464,24,43
318,05.06.2019 20:36,502.27500000000003,65.28908818801511,24,44
319,05.06.2019 21:36,436.6,58.47263676963483,24,44
320,05.06.2019 22:36,339.475,48.253337173109976,24,44
321,05.06.2019 23:36,294.15000000000003,43.53495713627318,24,45
322,06.06.2019 00:36,297.85,43.941411745373756,24,45
323,06.06.2019 01:36,251.60000000000002,38.88737355777866,24,45
324,06.06.2019 02:36,246.97500000000002,38.48827392160223,24,46
325,06.06.2019 03:36,240.5,37.80204242848138,24,46
326,06.06.2019 04:36,185.0,31.629465327809086,24,47
327,06.06.2019 05:36,174.82500000000002,30.485872650294926,24,47
328,06.06.2019 06:36,156.32500000000002,28.28025656467134,24,47
329,06.06.2019 07:36,199.8,33.34753749743536,24,47
330,06.06.2019 08:36,149.85,27.55346834533074,24,47
331,06.06.2019 09:36,174.82500000000002,30.485872650294926,24,47
332,06.06.2019 10:36,178.525,30.921437042123383,24,47
333,06.06.2019 11:36,146.15,27.10294274590501,24,47
334,06.06.2019 12:36,185.0,31.629465327809086,24,47
335,06.06.2019 13:36,174.82500000000002,30.485872650294926,24,47
336,06.06.2019 14:36,242.35000000000002,38.09282737023892,24,47
337,06.06.2019 15:36,217.375,35.314870296192304,24,47
338,06.06.2019 16:36,248.82500000000002,38.94151286228648,24,48
339,06.06.2019 17:36,209.05,34.503624484772715,24,48
340,06.06.2019 18:36,259.0,40.031119838889786,24,48
341,06.06.2019 19:36,277.5,42.07307534315942,24,48
342,06.06.2019 20:36,284.90000000000003,42.88500046119812,24,48
343,06.06.2019 21:36,359.82500000000005,50.886939508089895,24,48
344,06.06.2019 22:36,317.27500000000003,46.37388079695784,24,48
345,06.06.2019 23:36,382.02500000000003,53.379446399496004,24,49
346,07.06.2019 00:36,348.725,49.82823478220373,24,49
347,07.06.2019 01:36,272.875,41.6823447587025,24,49
348,07.06.2019 02:36,250.675,39.23104083895776,24,49
349,07.06.2019 03:36,222.0,36.06625051526022,24,49
350,07.06.2019 04:36,185.0,31.832820034872015,24,49
351,07.06.2019 05:36,185.0,31.832820034872015,24,49
352,07.06.2019 06:36,222.925,36.03466075888692,24,48
353,07.06.2019 07:36,136.9,26.08862516802859,24,48
354,07.06.2019 08:36,194.25,32.80382663145669,24,48
355,07.06.2019 09:36,237.72500000000002,37.701352667940505,24,48
356,07.06.2019 10:36,327.45,47.43959603804345,24,48
357,07.06.2019 11:36,270.1,41.25845650691908,24,48
358,07.06.2019 12:36,323.75,47.03978443237644,24,48
359,07.06.2019 13:36,234.025,37.286150456508445,24,48
360,07.06.2019 14:36,284.90000000000003,42.88500046119812,24,48
361,07.06.2019 15:36,291.375,43.55610785240114,24,48
362,07.06.2019 16:36,363.52500000000003,51.282787677183364,24,48
363,07.06.2019 17:36,241.425,38.115627527918456,24,48
364,07.06.2019 18:36,313.575,45.97297491602334,24,48
365,07.06.2019 19:36,259.0,40.031119838889786,24,48
366,07.06.2019 20:36,226.625,36.45283791916771,24,48
367,07.06.2019 21:36,295.075,43.96035426152502,24,48
368,07.06.2019 22:36,219.22500000000002,35.61542238381947,24,48
369,07.06.2019 23:36,277.5,42.07307534315942,24,48
370,08.06.2019 00:36,272.875,41.6823447587025,24,49
371,08.06.2019 01:36,222.0,36.06625051526022,24,49
372,08.06.2019 02:36,207.20000000000002,34.38762241619209,24,49
373,08.06.2019 03:36,190.55,32.578349287643356,24,50
374,08.06.2019 04:36,146.15,27.342161353850578,24,50
375,08.06.2019 05:36,212.75,35.11430810397223,24,50
376,08.06.2019 06:36,234.95000000000002,37.6103509896212,24,50
377,08.06.2019 07:36,199.8,33.54130750419413,24,49
378,08.06.2019 08:36,243.275,38.40770130207875,24,49
379,08.06.2019 09:36,248.82500000000002,38.94151286228648,24,48
380,08.06.2019 10:36,167.425,29.609429930758008,24,47
381,08.06.2019 11:36,188.70000000000002,32.061193170984296,24,47
382,08.06.2019 12:36,148.0,27.213302069462458,24,46
383,08.06.2019 13:36,149.85,27.3269107398073,24,45
384,08.06.2019 14:36,174.82500000000002,30.2805782433229,24,45
385,08.06.2019 15:36,194.25,32.42121701139549,24,44
386,08.06.2019 16:36,224.775,35.81238956889942,24,44
387,08.06.2019 17:36,249.75,38.447412604217,24,43
388,08.06.2019 18:36,277.5,41.48200747847728,24,43
389,08.06.2019 19:36,271.02500000000003,40.79644524393197,24,43
390,08.06.2019 20:36,212.75,34.38992520557672,24,43
391,08.06.2019 21:36,258.075,39.27312625769219,24,42
392,08.06.2019 22:36,244.20000000000002,37.74362727666752,24,42
393,08.06.2019 23:36,268.25,40.378734200478746,24,42
394,09.06.2019 00:36,227.55,35.925074221716244,24,42
395,09.06.2019 01:36,209.97500000000002,33.94136096376486,24,42
396,09.06.2019 02:36,209.97500000000002,33.94136096376486,24,42
397,09.06.2019 03:36,210.9,33.92345732885811,24,41
398,09.06.2019 04:36,185.925,30.856750471672367,23,41
399,09.06.2019 05:36,204.425,33.211005682802124,24,41
400,09.06.2019 06:36,150.775,27.064940793190164,24,41
401,09.06.2019 07:36,245.125,37.73542348191669,24,41
402,09.06.2019 08:36,251.60000000000002,38.28777900391496,24,40
403,09.06.2019 09:36,205.35000000000002,33.193753894078405,24,40
404,09.06.2019 10:36,198.875,32.476151506400306,24,40
405,09.06.2019 11:36,188.70000000000002,31.317298986174936,24,40
406,09.06.2019 12:36,105.45,21.41699624422155,24,40
407,09.06.2019 13:36,159.1,27.93704186798118,24,40
408,09.06.2019 14:36,202.57500000000002,32.91045359517496,24,40
409,09.06.2019 15:36,185.925,31.031736282335682,24,40
410,09.06.2019 16:36,255.3,38.70722931570666,24,40
411,09.06.2019 17:36,205.35000000000002,33.193753894078405,24,40
412,09.06.2019 18:36,255.3,38.85083457750195,24,41
413,09.06.2019 19:36,224.775,35.4869635604758,24,41
414,09.06.2019 20:36,230.32500000000002,36.20272524881486,24,42
415,09.06.2019 21:36,319.125,45.8456110932765,24,42
416,09.06.2019 22:36,250.675,38.43879705128661,24,42
417,09.06.2019 23:36,353.35,49.606033503511014,24,43
418,10.06.2019 00:36,267.325,40.383343706015786,24,43
419,10.06.2019 01:36,270.1,40.80254796593983,24,44
420,10.06.2019 02:36,232.175,36.65525865711698,24,44
421,10.06.2019 03:36,222.0,35.537339517752315,24,44
422,10.06.2019 04:36,160.95000000000002,28.674014008293753,24,45
423,10.06.2019 05:36,188.70000000000002,31.86657444198649,24,45
424,10.06.2019 06:36,153.55,27.77824017594936,24,45
425,10.06.2019 07:36,192.4,32.29903685589064,24,45
426,10.06.2019 08:36,171.125,29.840668996320428,24,45
427,10.06.2019 09:36,149.85,27.3269107398073,24,45
428,10.06.2019 10:36,237.72500000000002,37.36586501584505,24,45
429,10.06.2019 11:36,182.22500000000002,31.15502334789195,24,45
430,10.06.2019 12:36,229.4,36.54927001270393,24,46
431,10.06.2019 13:36,279.35,42.049578374291656,24,46
432,10.06.2019 14:36,321.90000000000003,46.6355350882461,24,46
433,10.06.2019 15:36,330.225,47.84162651294213,25,46
434,10.06.2019 16:36,329.3,47.846180736931466,25,47
435,10.06.2019 17:36,398.675,55.20506136683534,25,47
436,10.06.2019 18:36,340.40000000000003,49.037320525300686,25,47
437,10.06.2019 19:36,353.35,50.22554441451774,24,48
438,10.06.2019 20:36,359.82500000000005,50.886939508089895,24,48
439,10.06.2019 21:36,298.77500000000003,44.36400583558839,24,48
440,10.06.2019 22:36,294.15000000000003,43.97092792718591,24,49
441,10.06.2019 23:36,297.85,44.37377452103779,24,49
442,11.06.2019 00:36,323.75,47.17866806625234,24,49
443,11.06.2019 01:36,188.70000000000002,32.26205463436526,24,49
444,11.06.2019 02:36,232.175,37.166134245649296,24,49
445,11.06.2019 03:36,173.9,30.535836460351526,24,49
446,11.06.2019 04:36,271.02500000000003,41.559289800837554,24,50
447,11.06.2019 05:36,220.15,35.95034445824778,24,50
448,11.06.2019 06:36,217.375,35.877662627971624,25,50
449,11.06.2019 07:36,202.57500000000002,34.209704915661966,25,50
450,11.06.2019 08:36,187.775,32.5235840391246,25,50
451,11.06.2019 09:36,213.675,35.462235616698095,25,50
452,11.06.2019 10:36,222.0,36.44395744013409,25,50
453,11.06.2019 11:36,236.8,38.08949594819157,25,50
454,11.06.2019 12:36,202.57500000000002,34.209704915661966,25,50
455,11.06.2019 13:36,240.5,38.498784477565,25,50
456,11.06.2019 14:36,217.375,35.877662627971624,25,50
457,11.06.2019 15:36,251.60000000000002,39.72203328580007,25,50
458,11.06.2019 16:36,265.475,41.37129069475595,25,51
459,11.06.2019 17:36,234.95000000000002,37.97843914007169,25,51
460,11.06.2019 18:36,170.20000000000002,30.551835005809753,25,51
461,11.06.2019 19:36,176.675,31.24531003742972,25,50
462,11.06.2019 20:36,169.275,30.38579242425644,25,50
463,11.06.2019 21:36,314.5,46.698953511145675,25,51
464,11.06.2019 22:36,219.22500000000002,36.183004437571384,25,51
465,11.06.2019 23:36,258.075,40.564499375178094,25,51
466,12.06.2019 00:36,242.35000000000002,38.79492897354628,25,51
467,12.06.2019 01:36,291.375,44.17672911031739,25,51
