zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
311,05.06.2019 12:22,310.261,42.7766653505893,25,65
312,05.06.2019 13:22,183.13400000000001,28.912777598416973,25,61
313,05.06.2019 14:22,264.922,37.46562853710051,24,60
314,05.06.2019 15:22,292.481,40.239870837858064,24,58
315,05.06.2019 16:22,402.717,51.65402924838706,24,57
316,05.06.2019 17:22,366.26800000000003,47.81481588216809,24,56
317,05.06.2019 18:22,448.056,56.166792050819495,24,55
318,05.06.2019 19:22,400.939,51.23415907332243,24,54
319,05.06.2019 20:22,380.492,49.0562015022775,24,53
320,05.06.2019 21:22,417.83,52.89156204335,24,53
321,05.06.2019 22:22,424.942,53.55340375203276,24,52
322,05.06.2019 23:22,339.598,44.73543566687046,24,52
323,06.06.2019 00:22,379.603,48.87740186416741,24,52
324,06.06.2019 01:22,272.034,37.668912432095524,24,52
325,06.06.2019 02:22,299.593,40.56508396266836,24,52
326,06.06.2019 03:22,379.603,48.87740186416741,24,52
327,06.06.2019 04:22,336.931,44.45371059697525,24,52
328,06.06.2019 05:22,342.265,45.01698241055468,24,52
329,06.06.2019 06:22,299.593,40.56508396266836,24,52
330,06.06.2019 07:22,317.373,42.43078290922759,24,52
331,06.06.2019 08:22,234.696,33.7165109005801,24,52
332,06.06.2019 09:22,336.931,44.45371059697525,24,52
333,06.06.2019 10:22,296.926,40.20397045558229,24,51
334,06.06.2019 11:22,224.917,32.58504083703961,24,51
335,06.06.2019 12:22,257.81,36.107562605999235,24,51
336,06.06.2019 13:22,230.251,33.16948322053763,24,51
337,06.06.2019 14:22,277.368,38.160606995172394,24,51
338,06.06.2019 15:22,267.589,37.13539487540953,24,51
339,06.06.2019 16:22,281.813,38.61139424974574,24,51
340,06.06.2019 17:22,289.814,39.46901581207308,24,51
341,06.06.2019 18:22,262.255,36.5598541489365,24,51
342,06.06.2019 19:22,294.259,39.91887849624831,24,51
343,06.06.2019 20:22,306.705,41.222471140183075,24,51
344,06.06.2019 22:22,336.931,44.3841102558741,24,51
345,06.06.2019 23:22,425.831,53.549756819086085,24,51
346,07.06.2019 00:22,352.044,45.95792982849166,24,51
347,07.06.2019 01:22,421.386,53.10525811394043,24,51
348,07.06.2019 02:22,280.035,38.44703869159047,24,51
349,07.06.2019 03:22,306.705,41.29721187519363,24,52
350,07.06.2019 04:22,216.916,31.801877786443807,24,52
351,07.06.2019 05:22,281.813,38.61139424974574,24,51
352,07.06.2019 06:22,281.813,38.61139424974574,24,51
353,07.06.2019 07:22,314.706,42.074221708309715,24,51
354,07.06.2019 08:22,321.818,42.805795598367645,24,51
355,07.06.2019 09:22,289.814,39.46901581207308,24,51
356,07.06.2019 10:22,324.485,43.0181423427513,24,50
357,07.06.2019 11:22,331.597,43.74995792261681,24,50
358,07.06.2019 12:22,292.481,39.677676813491516,24,50
359,07.06.2019 13:22,324.485,43.0181423427513,24,50
360,07.06.2019 14:22,383.159,49.083634627042706,24,50
361,07.06.2019 15:22,373.38,48.07613298114828,24,50
362,07.06.2019 16:22,319.151,42.451051435950234,24,50
363,07.06.2019 17:22,304.038,40.79097814458486,24,49
364,07.06.2019 18:22,294.259,39.767950213792695,24,49
365,07.06.2019 19:22,287.147,39.10580401012149,24,50
366,07.06.2019 20:22,309.372,41.43334077575691,24,50
367,07.06.2019 21:22,326.263,43.18371144498449,24,50
368,07.06.2019 22:22,363.601,47.067382998070194,24,50
369,07.06.2019 23:22,395.605,50.36966791750334,24,50
370,08.06.2019 00:22,450.723,56.10461422013345,24,51
371,08.06.2019 01:22,450.723,56.10461422013345,24,51
372,08.06.2019 02:22,440.944,55.10561254057848,24,51
373,08.06.2019 03:22,458.724,56.93614100886732,24,51
374,08.06.2019 04:22,478.282,58.9303733171798,24,51
375,08.06.2019 05:22,505.841,61.74982561435407,24,51
376,08.06.2019 06:22,443.611,55.38318053907168,24,51
377,08.06.2019 07:22,384.048,49.25947160111084,24,51
378,08.06.2019 08:22,336.931,44.3841102558741,24,51
379,08.06.2019 09:22,287.147,39.10580401012149,24,50
380,08.06.2019 10:22,306.705,41.07615680355211,24,49
381,08.06.2019 11:22,231.14000000000001,33.026878450236055,24,48
382,08.06.2019 12:22,219.583,31.72162413375895,24,47
383,08.06.2019 13:22,224.917,32.22387655688183,24,46
384,08.06.2019 14:22,233.80700000000002,33.06530303777662,24,45
385,08.06.2019 15:22,285.369,38.49491502265986,24,45
386,08.06.2019 16:22,283.591,38.32621183746184,24,45
387,08.06.2019 17:22,230.251,32.72812176874805,25,43
388,08.06.2019 18:22,268.478,36.784356666950195,25,43
389,08.06.2019 19:22,323.596,42.30601407799005,24,43
390,08.06.2019 20:22,261.366,35.80993662279258,24,43
391,08.06.2019 21:22,284.48,38.23533555031473,24,43
392,08.06.2019 22:22,335.153,43.50450552844995,24,43
393,08.06.2019 23:22,334.264,43.32907474541008,24,42
394,09.06.2019 00:22,352.044,45.154515634351604,24,42
395,09.06.2019 01:22,327.152,42.5856466995369,24,42
396,09.06.2019 02:22,306.705,40.46577877561072,24,42
