zona;plyn;jmeno;R_d;R_d_err;p;T;odpary
1;1;MDC;406,072735;23,3471343988271;100000;25,1;1042,3
1;4;TMH;251,165235;26,8744604247688;100000;25,1;0
1;3;TCE;152,1117;10,996477633753;100000;25,1;0
1;2;PCE;140,2985;21,044775;100000;25,1;0

2;1;MDC;285,702165;16,4966812442714;100000;25,16;0
2;4;TMH;215,240555;23,0029276652841;100000;25,16;0
2;3;TCE;124,391415;8,9831237717921;100000;25,16;0
2;2;PCE;277,35975;41,6039625;100000;25,16;317,1

3;1;MDC;118,3835;9,47068;100000;24,48;0
3;4;TMH;113,1396;16,97094;100000;24,48;0
3;3;TCE;258,03988;25,803988;100000;24,48;840,8
3;2;PCE;61,65569;9,2483535;100000;24,48;0

4;1;MDC;336,225085;19,445388343711;100000;25,03;0
4;4;TMH;402,643445;42,9077894522406;100000;25,03;991
4;3;TCE;166,969505;12,0556851933041;100000;25,03;0
4;2;PCE;146,60916;21,991374;100000;25,03;0
