id;Datum/Čas;Teplota[°C];Vlhkost[%rv]
1;23.5.2019 11:40:00;17,90;48,90
2;23.5.2019 12:10:00;15,80;54,60
3;23.5.2019 12:40:00;15,70;55,40
4;23.5.2019 13:10:00;15,60;56,50
5;23.5.2019 13:40:00;15,50;56,50
6;23.5.2019 14:10:00;15,30;56,80
7;23.5.2019 14:40:00;15,10;57,30
8;23.5.2019 15:10:00;15,00;57,60
9;23.5.2019 15:40:00;15,00;57,80
10;23.5.2019 16:10:00;14,90;58,00
11;23.5.2019 16:40:00;14,90;58,30
12;23.5.2019 17:10:00;14,80;58,40
13;23.5.2019 17:40:00;14,80;58,60
14;23.5.2019 18:10:00;14,80;58,70
15;23.5.2019 18:40:00;14,80;58,80
16;23.5.2019 19:10:00;14,70;59,00
17;23.5.2019 19:40:00;14,70;59,10
18;23.5.2019 20:10:00;14,70;59,20
19;23.5.2019 20:40:00;14,70;59,30
20;23.5.2019 21:10:00;14,70;59,40
21;23.5.2019 21:40:00;14,60;59,50
22;23.5.2019 22:10:00;14,60;59,60
23;23.5.2019 22:40:00;14,60;59,80
24;23.5.2019 23:10:00;14,60;59,80
25;23.5.2019 23:40:00;14,50;59,90
26;24.5.2019 0:10:00;14,50;60,00
27;24.5.2019 0:40:00;14,50;59,90
28;24.5.2019 1:10:00;14,40;60,00
29;24.5.2019 1:40:00;14,40;60,00
30;24.5.2019 2:10:00;14,40;59,90
31;24.5.2019 2:40:00;14,40;60,00
32;24.5.2019 3:10:00;14,30;59,90
33;24.5.2019 3:40:00;14,30;59,90
34;24.5.2019 4:10:00;14,30;59,90
35;24.5.2019 4:40:00;14,30;59,90
36;24.5.2019 5:10:00;14,20;59,80
37;24.5.2019 5:40:00;14,20;59,70
38;24.5.2019 6:10:00;14,20;59,70
39;24.5.2019 6:40:00;14,20;59,60
40;24.5.2019 7:10:00;14,20;59,60
41;24.5.2019 7:40:00;14,20;59,70
42;24.5.2019 8:10:00;14,30;59,90
43;24.5.2019 8:40:00;14,30;60,30
44;24.5.2019 9:10:00;14,40;60,40
45;24.5.2019 9:40:00;14,60;59,40
46;24.5.2019 10:10:00;14,60;59,40
47;24.5.2019 10:40:00;14,60;59,40
48;24.5.2019 11:10:00;14,60;59,40
49;24.5.2019 11:40:00;14,60;59,40
50;24.5.2019 12:10:00;14,70;59,30
51;24.5.2019 12:40:00;14,70;59,20
52;24.5.2019 13:10:00;14,70;59,30
53;24.5.2019 13:40:00;14,70;59,20
54;24.5.2019 14:10:00;14,70;59,20
55;24.5.2019 14:40:00;14,70;59,20
56;24.5.2019 15:10:00;14,70;59,10
57;24.5.2019 15:40:00;14,70;59,20
58;24.5.2019 16:10:00;14,70;59,30
59;24.5.2019 16:40:00;14,90;57,90
60;24.5.2019 17:10:00;15,30;58,20
61;24.5.2019 17:40:00;15,20;58,70
62;24.5.2019 18:10:00;15,10;58,80
63;24.5.2019 18:40:00;15,10;59,00
64;24.5.2019 19:10:00;15,00;59,20
65;24.5.2019 19:40:00;15,00;59,60
66;24.5.2019 20:10:00;15,20;59,70
67;24.5.2019 20:40:00;15,10;59,80
68;24.5.2019 21:10:00;15,00;59,80
69;24.5.2019 21:40:00;15,00;59,90
70;24.5.2019 22:10:00;14,90;59,90
71;24.5.2019 22:40:00;14,90;60,00
72;24.5.2019 23:10:00;14,80;60,10
73;24.5.2019 23:40:00;14,80;60,10
74;25.5.2019 0:10:00;14,80;60,20
75;25.5.2019 0:40:00;14,70;60,20
76;25.5.2019 1:10:00;14,70;60,30
77;25.5.2019 1:40:00;14,70;60,30
78;25.5.2019 2:10:00;14,70;60,30
79;25.5.2019 2:40:00;14,60;60,30
80;25.5.2019 3:10:00;14,60;60,40
81;25.5.2019 3:40:00;14,60;60,40
82;25.5.2019 4:10:00;14,60;60,50
83;25.5.2019 4:40:00;14,60;60,50
84;25.5.2019 5:10:00;14,50;60,50
85;25.5.2019 5:40:00;14,50;60,60
86;25.5.2019 6:10:00;14,50;60,60
87;25.5.2019 6:40:00;14,50;60,60
88;25.5.2019 7:10:00;14,60;60,60
89;25.5.2019 7:40:00;14,60;60,50
90;25.5.2019 8:10:00;14,70;60,40
91;25.5.2019 8:40:00;14,70;60,10
92;25.5.2019 9:10:00;14,80;60,10
93;25.5.2019 9:40:00;14,80;60,00
94;25.5.2019 10:10:00;14,90;59,90
95;25.5.2019 10:40:00;14,90;59,80
96;25.5.2019 11:10:00;15,00;59,70
97;25.5.2019 11:40:00;15,00;59,60
98;25.5.2019 12:10:00;15,10;59,60
99;25.5.2019 12:40:00;15,10;59,60
100;25.5.2019 13:10:00;15,10;59,60
101;25.5.2019 13:40:00;15,10;59,50
102;25.5.2019 14:10:00;15,50;57,50
103;25.5.2019 14:40:00;15,60;57,30
104;25.5.2019 15:10:00;15,50;57,30
105;25.5.2019 15:40:00;15,50;57,20
106;25.5.2019 16:10:00;15,60;57,80
107;25.5.2019 16:40:00;15,90;57,40
108;25.5.2019 17:10:00;16,20;56,30
109;25.5.2019 17:40:00;16,20;59,70
110;25.5.2019 18:10:00;16,20;60,10
111;25.5.2019 18:40:00;16,10;61,50
112;25.5.2019 19:10:00;16,10;62,50
113;25.5.2019 19:40:00;15,90;61,70
114;25.5.2019 20:10:00;15,80;61,70
115;25.5.2019 20:40:00;15,70;61,90
116;25.5.2019 21:10:00;15,70;62,20
117;25.5.2019 21:40:00;15,60;62,60
118;25.5.2019 22:10:00;15,60;63,40
119;25.5.2019 22:40:00;15,50;63,60
120;25.5.2019 23:10:00;15,50;64,00
121;25.5.2019 23:40:00;15,50;64,30
122;26.5.2019 0:10:00;15,40;64,10
123;26.5.2019 0:40:00;15,40;64,20
124;26.5.2019 1:10:00;15,30;64,10
125;26.5.2019 1:40:00;15,20;64,10
126;26.5.2019 2:10:00;15,20;64,30
127;26.5.2019 2:40:00;15,10;63,90
128;26.5.2019 3:10:00;15,10;63,70
129;26.5.2019 3:40:00;15,00;63,60
130;26.5.2019 4:10:00;15,00;63,50
131;26.5.2019 4:40:00;14,90;63,50
132;26.5.2019 5:10:00;14,90;63,90
133;26.5.2019 5:40:00;14,80;64,20
134;26.5.2019 6:10:00;14,80;64,80
135;26.5.2019 6:40:00;14,80;65,80
136;26.5.2019 7:10:00;14,90;66,00
137;26.5.2019 7:40:00;14,90;68,10
138;26.5.2019 8:10:00;14,90;67,30
139;26.5.2019 8:40:00;15,00;66,10
140;26.5.2019 9:10:00;15,10;65,60
141;26.5.2019 9:40:00;15,10;65,20
142;26.5.2019 10:10:00;15,20;64,90
143;26.5.2019 10:40:00;15,30;64,60
144;26.5.2019 11:10:00;15,30;64,50
145;26.5.2019 11:40:00;15,40;64,30
146;26.5.2019 12:10:00;15,40;64,10
147;26.5.2019 12:40:00;15,40;64,00
148;26.5.2019 13:10:00;15,40;64,00
149;26.5.2019 13:40:00;15,40;64,00
150;26.5.2019 14:10:00;15,40;64,00
151;26.5.2019 14:40:00;15,50;64,10
152;26.5.2019 15:10:00;15,50;64,30
153;26.5.2019 15:40:00;15,50;64,20
154;26.5.2019 16:10:00;15,50;64,30
155;26.5.2019 16:40:00;15,50;64,10
156;26.5.2019 17:10:00;15,60;63,90
157;26.5.2019 17:40:00;15,60;63,80
158;26.5.2019 18:10:00;15,60;63,80
159;26.5.2019 18:40:00;15,60;63,80
160;26.5.2019 19:10:00;15,60;64,00
161;26.5.2019 19:40:00;15,60;64,00
162;26.5.2019 20:10:00;15,60;64,00
163;26.5.2019 20:40:00;15,60;64,10
164;26.5.2019 21:10:00;15,60;64,20
165;26.5.2019 21:40:00;15,60;64,20
166;26.5.2019 22:10:00;15,60;64,20
167;26.5.2019 22:40:00;15,60;64,30
168;26.5.2019 23:10:00;15,50;64,40
169;26.5.2019 23:40:00;15,50;64,50
170;27.5.2019 0:10:00;15,50;64,50
171;27.5.2019 0:40:00;15,50;64,60
172;27.5.2019 1:10:00;15,50;64,60
173;27.5.2019 1:40:00;15,50;64,60
174;27.5.2019 2:10:00;15,50;64,60
175;27.5.2019 2:40:00;15,50;64,70
176;27.5.2019 3:10:00;15,50;65,00
177;27.5.2019 3:40:00;15,50;65,40
178;27.5.2019 4:10:00;15,50;65,50
179;27.5.2019 4:40:00;15,40;66,00
180;27.5.2019 5:10:00;15,40;66,00
181;27.5.2019 5:40:00;15,40;66,00
182;27.5.2019 6:10:00;15,40;65,90
183;27.5.2019 6:40:00;15,40;65,70
184;27.5.2019 7:10:00;15,40;65,50
185;27.5.2019 7:40:00;15,50;65,60
186;27.5.2019 8:10:00;15,50;65,20
187;27.5.2019 8:40:00;15,60;65,10
188;27.5.2019 9:10:00;15,60;64,80
189;27.5.2019 9:40:00;15,70;65,20
190;27.5.2019 10:10:00;15,80;64,50
191;27.5.2019 10:40:00;15,80;64,80
192;27.5.2019 11:10:00;15,80;64,70
193;27.5.2019 11:40:00;15,90;64,50
194;27.5.2019 12:10:00;15,90;64,50
195;27.5.2019 12:40:00;15,90;64,50
196;27.5.2019 13:10:00;15,90;64,70
197;27.5.2019 13:40:00;15,90;64,70
198;27.5.2019 14:10:00;16,00;64,70
199;27.5.2019 14:40:00;16,00;64,90
200;27.5.2019 15:10:00;16,00;64,80
201;27.5.2019 15:40:00;16,00;64,80
202;27.5.2019 16:10:00;16,00;64,80
203;27.5.2019 16:40:00;16,00;64,70
204;27.5.2019 17:10:00;16,00;64,90
205;27.5.2019 17:40:00;16,00;65,30
206;27.5.2019 18:10:00;16,00;65,60
207;27.5.2019 18:40:00;16,00;65,60
208;27.5.2019 19:10:00;16,00;65,70
209;27.5.2019 19:40:00;15,90;65,80
210;27.5.2019 20:10:00;15,90;66,00
211;27.5.2019 20:40:00;15,90;65,90
212;27.5.2019 21:10:00;15,90;66,30
213;27.5.2019 21:40:00;15,90;66,50
214;27.5.2019 22:10:00;15,90;66,80
215;27.5.2019 22:40:00;15,90;66,90
216;27.5.2019 23:10:00;15,90;66,90
217;27.5.2019 23:40:00;15,80;67,00
218;28.5.2019 0:10:00;15,80;67,00
219;28.5.2019 0:40:00;15,80;67,00
220;28.5.2019 1:10:00;15,80;67,00
221;28.5.2019 1:40:00;15,80;67,20
222;28.5.2019 2:10:00;15,80;67,30
223;28.5.2019 2:40:00;15,80;67,40
224;28.5.2019 3:10:00;15,80;67,50
225;28.5.2019 3:40:00;15,70;67,60
226;28.5.2019 4:10:00;15,70;67,70
227;28.5.2019 4:40:00;15,70;67,80
228;28.5.2019 5:10:00;15,70;67,90
229;28.5.2019 5:40:00;15,70;68,00
230;28.5.2019 6:10:00;15,70;68,00
231;28.5.2019 6:40:00;15,70;68,20
232;28.5.2019 7:10:00;15,70;70,60
233;28.5.2019 7:40:00;15,70;69,80
234;28.5.2019 8:10:00;15,70;70,80
235;28.5.2019 8:40:00;15,60;73,00
236;28.5.2019 9:10:00;15,60;74,40
237;28.5.2019 9:40:00;15,70;72,90
238;28.5.2019 10:10:00;15,70;72,80
239;28.5.2019 10:40:00;15,70;72,30
240;28.5.2019 11:10:00;15,80;71,70
241;28.5.2019 11:40:00;15,80;71,70
242;28.5.2019 12:10:00;15,80;71,20
243;28.5.2019 12:40:00;15,80;70,90
244;28.5.2019 13:10:00;15,80;70,50
245;28.5.2019 13:40:00;15,80;71,40
246;28.5.2019 14:10:00;15,80;70,80
247;28.5.2019 14:40:00;15,80;72,30
248;28.5.2019 15:10:00;15,70;73,00
249;28.5.2019 15:40:00;15,70;73,10
250;28.5.2019 16:10:00;15,70;73,50
251;28.5.2019 16:40:00;15,60;73,30
252;28.5.2019 17:10:00;15,60;72,00
253;28.5.2019 17:40:00;15,50;71,70
254;28.5.2019 18:10:00;15,40;71,40
255;28.5.2019 18:40:00;15,40;70,80
256;28.5.2019 19:10:00;15,30;69,90
257;28.5.2019 19:40:00;15,20;69,90
258;28.5.2019 20:10:00;15,10;69,50
259;28.5.2019 20:40:00;15,00;68,70
260;28.5.2019 21:10:00;14,90;68,30
261;28.5.2019 21:40:00;14,80;68,20
262;28.5.2019 22:10:00;14,80;68,40
263;28.5.2019 22:40:00;14,70;68,70
264;28.5.2019 23:10:00;14,70;69,00
265;28.5.2019 23:40:00;14,60;69,40
266;29.5.2019 0:10:00;14,50;69,70
267;29.5.2019 0:40:00;14,50;69,80
268;29.5.2019 1:10:00;14,50;70,10
269;29.5.2019 1:40:00;14,40;70,40
270;29.5.2019 2:10:00;14,40;70,50
271;29.5.2019 2:40:00;14,30;70,60
272;29.5.2019 3:10:00;14,30;70,60
273;29.5.2019 3:40:00;14,30;70,70
274;29.5.2019 4:10:00;14,30;70,90
275;29.5.2019 4:40:00;14,30;70,90
276;29.5.2019 5:10:00;14,20;70,70
277;29.5.2019 5:40:00;14,20;70,70
278;29.5.2019 6:10:00;14,10;70,60
279;29.5.2019 6:40:00;14,10;70,50
280;29.5.2019 7:10:00;14,00;70,70
281;29.5.2019 7:40:00;13,90;69,40
282;29.5.2019 8:10:00;14,00;68,90
283;29.5.2019 8:40:00;13,70;70,10
284;29.5.2019 9:10:00;13,60;71,50
285;29.5.2019 9:40:00;14,00;69,60
286;29.5.2019 10:10:00;13,90;70,10
287;29.5.2019 10:40:00;13,80;70,20
288;29.5.2019 11:10:00;13,70;70,20
289;29.5.2019 11:40:00;13,60;69,30
290;29.5.2019 12:10:00;13,50;68,70
291;29.5.2019 12:40:00;13,50;68,50
292;29.5.2019 13:10:00;13,40;67,60
293;29.5.2019 13:40:00;13,30;67,60
294;29.5.2019 14:10:00;13,30;67,40
295;29.5.2019 14:40:00;13,30;67,10
296;29.5.2019 15:10:00;13,30;66,90
297;29.5.2019 15:40:00;13,30;66,70
298;29.5.2019 16:10:00;13,30;65,60
299;29.5.2019 16:40:00;13,30;65,70
300;29.5.2019 17:10:00;13,30;66,10
301;29.5.2019 17:40:00;13,30;66,50
302;29.5.2019 18:10:00;13,30;66,40
303;29.5.2019 18:40:00;13,30;66,10
304;29.5.2019 19:10:00;13,20;65,80
305;29.5.2019 19:40:00;13,20;66,10
306;29.5.2019 20:10:00;13,30;66,50
307;29.5.2019 20:40:00;13,30;66,90
308;29.5.2019 21:10:00;13,30;66,80
309;29.5.2019 21:40:00;13,30;66,80
310;29.5.2019 22:10:00;13,30;66,30
311;29.5.2019 22:40:00;13,20;65,80
312;29.5.2019 23:10:00;13,20;64,90
313;29.5.2019 23:40:00;13,20;64,20
314;30.5.2019 0:10:00;13,20;63,70
315;30.5.2019 0:40:00;13,10;63,60
316;30.5.2019 1:10:00;13,10;63,50
317;30.5.2019 1:40:00;13,10;63,30
318;30.5.2019 2:10:00;13,00;63,10
319;30.5.2019 2:40:00;13,00;62,90
320;30.5.2019 3:10:00;13,00;62,70
321;30.5.2019 3:40:00;12,90;62,40
322;30.5.2019 4:10:00;12,90;62,20
323;30.5.2019 4:40:00;12,80;61,90
324;30.5.2019 5:10:00;12,80;61,70
325;30.5.2019 5:40:00;12,80;61,40
326;30.5.2019 6:10:00;12,70;61,10
327;30.5.2019 6:40:00;12,70;60,90
328;30.5.2019 7:10:00;12,70;60,80
329;30.5.2019 7:40:00;12,70;61,10
330;30.5.2019 8:10:00;12,80;60,70
331;30.5.2019 8:40:00;12,90;61,10
332;30.5.2019 9:10:00;12,90;61,10
333;30.5.2019 9:40:00;13,00;60,50
334;30.5.2019 10:10:00;13,00;60,60
335;30.5.2019 10:40:00;13,10;59,80
336;30.5.2019 11:10:00;13,10;59,50
337;30.5.2019 11:40:00;13,20;59,50
338;30.5.2019 12:10:00;13,20;59,70
339;30.5.2019 12:40:00;13,30;59,70
340;30.5.2019 13:10:00;13,30;59,30
341;30.5.2019 13:40:00;13,40;59,10
342;30.5.2019 14:10:00;13,40;59,30
343;30.5.2019 14:40:00;13,50;59,80
344;30.5.2019 15:10:00;13,50;60,10
345;30.5.2019 15:40:00;13,50;60,20
346;30.5.2019 16:10:00;13,60;60,50
347;30.5.2019 16:40:00;13,60;60,50
348;30.5.2019 17:10:00;13,60;60,50
349;30.5.2019 17:40:00;13,60;60,60
350;30.5.2019 18:10:00;13,70;60,70
351;30.5.2019 18:40:00;13,70;60,80
352;30.5.2019 19:10:00;13,70;61,00
353;30.5.2019 19:40:00;13,70;61,10
354;30.5.2019 20:10:00;13,70;60,50
355;30.5.2019 20:40:00;13,70;59,80
356;30.5.2019 21:10:00;13,70;59,10
357;30.5.2019 21:40:00;13,70;58,90
358;30.5.2019 22:10:00;13,70;59,10
359;30.5.2019 22:40:00;13,60;58,90
360;30.5.2019 23:10:00;13,60;58,60
361;30.5.2019 23:40:00;13,50;58,90
362;31.5.2019 0:10:00;13,50;58,70
363;31.5.2019 0:40:00;13,40;58,40
364;31.5.2019 1:10:00;13,40;58,30
365;31.5.2019 1:40:00;13,30;58,30
366;31.5.2019 2:10:00;13,20;58,20
367;31.5.2019 2:40:00;13,20;58,30
368;31.5.2019 3:10:00;13,10;58,40
369;31.5.2019 3:40:00;13,10;59,30
370;31.5.2019 4:10:00;13,10;59,60
371;31.5.2019 4:40:00;13,00;59,50
372;31.5.2019 5:10:00;13,00;59,10
373;31.5.2019 5:40:00;12,90;59,00
374;31.5.2019 6:10:00;12,90;59,80
375;31.5.2019 6:40:00;13,00;61,10
376;31.5.2019 7:10:00;13,00;62,10
377;31.5.2019 7:40:00;13,00;62,20
378;31.5.2019 8:10:00;13,20;62,20
379;31.5.2019 8:40:00;13,30;62,10
380;31.5.2019 9:10:00;13,40;61,40
381;31.5.2019 9:40:00;13,70;58,40
382;31.5.2019 10:10:00;13,80;58,00
383;31.5.2019 10:40:00;13,80;58,40
384;31.5.2019 11:10:00;13,90;58,90
385;31.5.2019 11:40:00;13,90;59,10
386;31.5.2019 12:10:00;13,90;59,40
387;31.5.2019 12:40:00;14,00;59,60
388;31.5.2019 13:10:00;14,00;59,80
389;31.5.2019 13:40:00;14,00;60,10
390;31.5.2019 14:10:00;14,10;60,40
391;31.5.2019 14:40:00;14,10;60,90
392;31.5.2019 15:10:00;14,10;61,20
393;31.5.2019 15:40:00;14,10;61,50
394;31.5.2019 16:10:00;14,20;61,80
395;31.5.2019 16:40:00;14,20;62,00
396;31.5.2019 17:10:00;14,20;62,20
397;31.5.2019 17:40:00;14,30;62,60
398;31.5.2019 18:10:00;14,30;62,90
399;31.5.2019 18:40:00;14,30;62,90
