zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
#1,23.05.2019 13:55,3737.925,390.82265277569235,23,47
#2,23.05.2019 14:55,4471.45,463.3982725700744,23,42
#3,23.05.2019 15:55,4339.175,450.2235805894963,24,40
#4,23.05.2019 16:55,4027.4500000000003,418.6572878049201,24,38
#5,23.05.2019 17:55,4010.8,416.80222236819134,24,37
#6,23.05.2019 18:55,3605.65,376.06018786736354,24,36
#7,23.05.2019 19:55,3309.65,346.2388581910062,24,35
#8,23.05.2019 20:55,3108.925,326.141274810116,24,35
#9,23.05.2019 21:55,3028.4500000000003,318.0880632922338,24,35
#10,23.05.2019 22:55,2756.5,290.65809954882275,24,34
#11,23.05.2019 23:55,2454.9500000000003,260.4594518505548,24,34
#12,24.05.2019 00:55,2155.25,230.4265171191603,24,34
#13,24.05.2019 01:55,2180.225,232.9315816969222,24,34
#14,24.05.2019 02:55,1834.275,198.24323058199528,24,34
#15,24.05.2019 03:55,1677.025,182.4664491623019,24,34
#16,24.05.2019 04:55,1535.5,168.06675661241823,24,33
#17,24.05.2019 05:55,1447.625,159.24427941125575,24,33
#18,24.05.2019 06:55,1346.8,149.1080736058479,24,33
#19,24.05.2019 07:55,1332.0,147.6244550405772,24,33
#20,24.05.2019 08:55,1000.85,114.28775206518179,24,33
#21,24.05.2019 09:55,732.6,87.1436171307974,24,33
#22,24.05.2019 10:55,659.525,79.71334371963259,24,33
#23,24.05.2019 11:55,735.375,87.42069028926063,24,33
#24,24.05.2019 12:55,760.35,89.96582526159587,24,33
#25,24.05.2019 13:55,741.85,88.08468571889624,24,33
26,24.05.2019 14:55,918.5250000000001,105.97429505291329,24,33
27,24.05.2019 15:55,961.075,110.61448548534823,25,33
28,24.05.2019 16:55,1029.525,117.52064190300979,25,33
29,24.05.2019 17:55,870.4250000000001,101.44925439396928,25,33
30,24.05.2019 18:55,826.95,97.05161054771663,25,33
31,24.05.2019 19:55,711.325,85.31739190588756,25,33
32,24.05.2019 20:55,783.475,92.64923560581401,25,33
33,24.05.2019 21:55,854.7,99.85601343058002,25,33
34,24.05.2019 22:55,754.8000000000001,89.72991607048638,25,33
35,24.05.2019 23:55,888.9250000000001,103.3173016566,25,33
36,25.05.2019 00:55,970.325,111.5470109699511,25,33
37,25.05.2019 01:55,1000.85,114.28775206518179,24,33
38,25.05.2019 02:55,1079.4750000000001,122.20925893433022,24,33
39,25.05.2019 03:55,1067.45,120.99913183125481,24,33
40,25.05.2019 04:55,1060.9750000000001,120.34155187172344,24,33
41,25.05.2019 05:55,979.575,112.4794125222988,25,33
42,25.05.2019 06:55,1038.775,118.45225159965419,25,33
43,25.05.2019 07:55,1036.0,118.17689823780465,25,33
44,25.05.2019 08:55,1135.9,128.24734941887507,25,33
45,25.05.2019 09:55,1054.5,120.03980719182654,25,33
46,25.05.2019 10:55,1129.425,127.59219218616612,25,33
47,25.05.2019 11:55,1176.6000000000001,132.34799259439706,25,33
48,25.05.2019 12:55,1048.95,119.48912840191782,25,33
49,25.05.2019 13:55,1158.1000000000001,130.48769523115408,25,33
50,25.05.2019 14:55,1108.15,125.26398284667111,25,32
51,25.05.2019 15:55,827.875,96.96205496384314,25,32
52,25.05.2019 16:55,735.375,87.58097184052217,25,32
53,25.05.2019 17:55,517.075,65.307986871867,25,32
54,25.05.2019 18:55,407.925,54.35045801004039,25,34
55,25.05.2019 19:55,286.75,41.42477204681319,25,33
56,25.05.2019 20:55,274.725,40.15464313905679,25,33
57,25.05.2019 21:55,327.45,45.75381119956801,25,33
58,25.05.2019 22:55,370.925,50.3193105604957,25,33
59,25.05.2019 23:55,489.32500000000005,62.6057381202491,25,33
60,26.05.2019 00:55,505.05,64.22846069998012,25,33
61,26.05.2019 01:55,518.0,65.57171370762104,25,33
62,26.05.2019 02:55,533.725,67.18992187828644,25,33
63,26.05.2019 03:55,493.02500000000003,63.00140738896638,25,33
64,26.05.2019 04:55,493.02500000000003,63.00140738896638,25,33
65,26.05.2019 05:55,418.1,55.25043441444669,25,33
66,26.05.2019 06:55,543.9,67.90388853117054,24,33
67,26.05.2019 07:55,434.75,56.672805041692676,24,33
68,26.05.2019 08:55,453.25,58.592813462314055,24,33
69,26.05.2019 09:55,501.35,63.53630933401687,24,33
70,26.05.2019 10:55,590.15,72.64993192715751,24,33
71,26.05.2019 11:55,525.4,66.00066941331566,24,33
72,26.05.2019 12:55,590.15,72.64993192715751,24,33
73,26.05.2019 13:55,619.75,75.84059901090797,24,34
74,26.05.2019 14:55,684.5,82.43751674247999,24,34
75,26.05.2019 15:55,625.3000000000001,76.39443512281501,24,34
76,26.05.2019 16:55,622.525,76.11751188642272,24,34
77,26.05.2019 17:55,619.75,75.84059901090797,24,34
78,26.05.2019 18:55,671.5500000000001,81.10799517004837,24,34
79,26.05.2019 19:55,666.0,80.5547019111858,24,34
80,26.05.2019 20:55,678.95,81.5440679532413,23,34
81,26.05.2019 21:55,570.725,70.50973707721062,23,34
82,26.05.2019 22:55,648.4250000000001,78.42895283297396,23,34
83,26.05.2019 23:55,705.775,84.26645870155615,23,34
84,27.05.2019 00:55,727.0500000000001,86.43102209730674,23,34
85,27.05.2019 01:55,744.625,88.20666347476707,23,34
86,27.05.2019 02:55,847.3000000000001,98.61530759931648,23,34
87,27.05.2019 03:55,795.5,93.36060969914575,23,34
88,27.05.2019 04:55,826.0250000000001,96.45893855265331,23,34
89,27.05.2019 05:55,826.95,96.38218217662968,22,35
90,27.05.2019 06:55,732.6,86.83267396560004,22,35
91,27.05.2019 07:55,821.4000000000001,95.82646976478487,22,35
92,27.05.2019 08:55,821.4000000000001,95.82646976478487,22,35
93,27.05.2019 09:55,909.2750000000001,105.21624304612634,23,36
94,27.05.2019 10:55,789.95,92.805783529686,22,36
95,27.05.2019 11:55,657.6750000000001,79.3751607036449,22,36
96,27.05.2019 12:55,765.9000000000001,90.36830902739406,22,36
97,27.05.2019 13:55,765.9000000000001,90.36830902739406,22,36
98,27.05.2019 14:55,717.8000000000001,85.48784169590591,22,36
99,27.05.2019 15:55,648.4250000000001,78.42895283297396,22,36
100,27.05.2019 16:55,792.725,93.08319529997769,22,36
101,27.05.2019 17:55,645.65,78.15075937005527,22,36
102,27.05.2019 18:55,747.4000000000001,88.48428246061717,22,36
103,27.05.2019 19:55,699.3000000000001,83.60027085043502,22,36
104,27.05.2019 20:55,771.45,90.92332931067662,22,36
105,27.05.2019 21:55,747.4000000000001,88.48428246061717,22,36
106,27.05.2019 22:55,838.0500000000001,97.67590274275895,22,36
107,27.05.2019 23:55,795.5,93.03089560336775,21,36
108,28.05.2019 00:55,856.5500000000001,99.20080226515911,21,36
109,28.05.2019 01:55,833.4250000000001,96.86668969052715,21,36
110,28.05.2019 02:55,906.5,104.41673567748843,21,37
111,28.05.2019 03:55,814.0,95.05472108212196,21,37
112,28.05.2019 04:55,876.9000000000001,101.42658601175532,21,37
113,28.05.2019 05:55,855.625,99.26801662507219,21,37
114,28.05.2019 06:55,926.85,106.46633675664903,21,37
115,28.05.2019 07:55,956.45,109.45388823079338,21,37
116,28.05.2019 08:55,890.7750000000001,102.98762632813977,21,38
117,28.05.2019 09:55,727.975,86.6463560044747,21,39
