zona;plyn;jmeno;R_d;R_d_err;p;T;odpary
1;2;MCH;36,02102;2,31666503013385;100000;12,22;0
1;1;TMH;145,26215;26,0485909239795;100000;12,22;192,502912054205
1;3;PCE;0;0;100000;12,22;0

2;2;MCH;395,78351;16,5724806337104;100000;20,12;472,266684799782
2;1;TMH;37,5194975;3,94376574124621;100000;20,12;0
2;3;PCE;2,6094;0,124722970580723;100000;20,12;0

3;2;MCH;50,84834;2,28823048686246;100000;17,57;0
3;1;TMH;20,1502948375;2,41619941588646;100000;17,57;0
3;3;PCE;136,8945025;4,10968226702118;100000;17,57;96,5385578564025
