zona;plyn;jmeno;R_d;R_d_err;p;T;odpary
1;1;MCH;72,04204;4,6333300602677;100000;12,22;0
1;2;MDC;68,993295248;2,46469858586828;100000;12,22;0
1;3;TMH;290,5243;52,097181847959;100000;12,22;192,502912054205
1;4;PCH;41,3773216;4,72078927051988;100000;12,22;0
1;5;TCE;383,68254;29,052449877604;100000;12,22;193,552432841535
1;6;PCE;0;0;100000;12,9;0

2;1;MCH;2374,70106;99,4348838022622;100000;16,12;472,266684799782
2;2;MDC;1829,44202;42,4;100000;16,12;497,265551667107
2;3;TMH;154,14839;15,8;100000;16,12;0
2;4;PCH;186,06211;4,5;100000;16,12;0
2;5;TCE;164,83252;8,3;100000;16,12;0
2;6;PCE;15,6564;0,748337823484341;100000;16,12;0

3;1;MCH;203,39336;9,15292194744986;100000;17,57;0
3;2;MDC;188,99627368;4,73052974457402;100000;17,57;0
3;3;TMH;80,60117935;9,66479766354584;100000;17,57;0
3;4;PCH;728,63548;18,2187288670778;100000;17,57;230,880989782151
3;5;TCE;99,90569;4,99849348583921;100000;17,57;0
3;6;PCE;547,57801;16,4387290680847;100000;17,57;96,5385578564025
