time \ channel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
05.06.2019 07:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	2	0	1	0	0	1	1	0	1	2	1	2	1	2	1	1	0	0	0	0	0	0	3	1	1	1	2	2	0	1	1	3	1	4	5	11	60	48	1	1	1	1	0	2	0	1	5	0	3	4	5	11	28	52	15	10	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0
05.06.2019 06:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	3	0	1	0	0	0	1	0	0	0	1	2	0	0	2	0	3	1	5	1	4	5	1	6	66	54	0	1	0	0	1	1	2	1	1	1	2	5	8	21	43	71	15	6	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
05.06.2019 05:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	2	1	1	1	0	0	0	0	4	1	2	1	1	2	0	0	2	4	0	3	3	3	4	11	9	59	50	4	1	3	0	1	1	0	1	1	0	1	4	8	17	45	63	12	8	6	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
05.06.2019 04:55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	1	1	1	0	1	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	3	5	3	3	1	5	4	9	57	62	4	1	1	0	0	1	0	1	0	2	1	3	6	26	33	59	16	12	4	3	2	0	1	0	0	0	1	0	0	0	0	0	0	0
05.06.2019 03:55	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	2	1	1	2	0	1	0	1	1	2	1	4	3	1	2	3	9	7	67	57	2	0	1	1	0	0	0	5	2	1	5	5	6	14	44	57	23	9	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05.06.2019 02:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	2	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	2	1	0	1	0	1	2	3	1	3	4	8	10	62	66	1	0	0	1	0	1	0	2	4	1	2	3	4	18	54	72	21	4	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
05.06.2019 01:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	0	0	3	2	0	7	1	10	13	71	50	0	0	1	2	2	0	1	3	1	1	0	3	7	12	50	69	14	2	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
05.06.2019 00:55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	1	3	0	1	2	1	1	0	1	1	0	0	0	1	1	1	3	1	4	14	50	63	2	0	1	0	1	1	3	0	3	1	3	4	3	16	36	60	19	8	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
04.06.2019 23:55	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	2	1	1	0	0	1	1	1	2	1	0	0	2	2	3	8	8	54	52	3	0	1	1	0	2	0	0	3	0	0	7	11	16	29	48	13	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
04.06.2019 22:55	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	3	2	1	2	5	8	12	53	39	1	1	0	1	0	0	1	1	3	1	1	4	4	14	36	47	16	9	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
