záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	10.05.2019 15:42	135	8	31	6	0	24	32	10	0	
2	10.05.2019 16:42	273	7	62	30	0	25	31	10	0	
3	10.05.2019 17:42	291	8	66	62	0	25	31	10	0	
4	10.05.2019 18:42	273	5	63	63	0	25	30	10	0	
5	10.05.2019 19:42	308	7	71	76	0	25	30	10	0	
6	10.05.2019 20:42	304	8	70	67	0	25	30	9	0	
7	10.05.2019 21:42	237	20	56	55	0	24	30	9	0	
8	10.05.2019 22:42	287	15	68	65	0	24	30	9	0	
9	10.05.2019 23:42	245	12	58	69	0	24	30	9	0	
10	11.05.2019 00:42	214	13	52	59	0	23	30	9	0	
11	11.05.2019 01:42	272	10	66	63	0	23	30	9	0	
12	11.05.2019 02:42	272	10	66	59	0	23	30	9	0	
13	11.05.2019 03:42	255	7	61	78	0	23	31	9	0	
14	11.05.2019 04:42	276	10	66	66	0	23	31	9	0	
15	11.05.2019 05:42	273	10	67	59	0	22	31	9	0	
16	11.05.2019 06:42	228	17	56	71	0	22	31	9	0	
17	11.05.2019 07:42	289	12	71	84	0	22	31	9	0	
18	11.05.2019 08:42	297	18	71	59	0	23	31	9	0	
19	11.05.2019 09:42	238	11	57	73	0	23	31	9	0	
20	11.05.2019 10:42	255	10	61	63	0	23	31	9	0	
21	11.05.2019 11:42	209	7	50	47	0	23	31	9	0	
22	11.05.2019 12:42	234	13	56	51	0	23	31	9	0	
23	11.05.2019 13:42	276	8	66	71	0	23	31	9	0	
24	11.05.2019 14:42	217	12	52	67	0	23	31	9	0	
25	11.05.2019 15:42	171	12	41	60	0	23	31	9	0	
26	11.05.2019 16:42	232	9	54	52	0	24	31	9	0	
27	11.05.2019 17:42	275	8	64	62	0	24	31	9	0	
28	11.05.2019 18:42	232	10	55	61	0	24	30	9	0	
29	11.05.2019 19:42	262	7	62	61	0	24	30	9	0	
30	11.05.2019 20:42	254	10	60	58	0	24	30	9	0	
31	11.05.2019 21:42	235	10	57	55	0	23	30	9	0	
32	11.05.2019 22:42	276	8	67	61	0	23	30	9	0	
33	11.05.2019 23:42	222	16	54	62	0	23	30	9	0	
34	12.05.2019 00:42	193	10	47	60	0	23	30	9	0	
35	12.05.2019 01:42	255	5	62	56	0	23	30	9	0	
36	12.05.2019 02:42	239	13	58	59	0	23	30	9	0	
37	12.05.2019 03:42	226	15	55	59	0	23	30	9	0	
38	12.05.2019 04:42	214	9	52	47	0	23	30	9	0	
39	12.05.2019 05:42	192	10	46	50	0	23	31	9	0	
40	12.05.2019 06:42	234	13	56	48	0	23	31	9	0	
41	12.05.2019 07:42	263	12	63	57	0	23	31	9	0	
42	12.05.2019 08:42	201	11	48	57	0	23	31	9	0	
43	12.05.2019 09:42	192	15	46	59	0	23	31	9	0	
44	12.05.2019 10:42	247	15	59	49	0	23	31	9	0	
45	12.05.2019 11:42	163	7	39	56	0	23	31	9	0	
46	12.05.2019 12:42	198	11	48	62	0	23	30	9	0	
47	12.05.2019 13:42	235	9	57	44	0	23	30	9	0	
48	12.05.2019 14:42	173	10	41	52	0	24	30	9	0	
49	12.05.2019 15:42	254	9	60	60	0	24	30	9	0	
50	12.05.2019 16:42	207	15	49	53	0	24	30	9	0	
51	12.05.2019 17:42	199	8	47	59	0	24	30	9	0	
52	12.05.2019 18:42	258	7	61	53	0	24	30	9	0	
