Measurement time	Rn222 (Bq/m3) AG1914  [DVD]	Rn222+error in Bq (Bqm3) AG1914  [DVD]	Data quality ALGU () AG1914  [DVD]	System quality ALGU () AG1914  [DVD]	Reloc channel/Marker () AG1914  [DVD]	Temperature °C (C) AG1914  [DVD]	Air pressure mbar (mbar) AG1914  [DVD]	Humidity rel.% (%) AG1914  [DVD]
10.5.2019 14:00:00	no data							
10.5.2019 15:00:00	50	51	[LOLIM]	[DETCO]	[Reloc]	26,1	1056,3	29,5
10.5.2019 16:00:00	326	32	[PREA]	[DETCO]		25,0	1056,6	30,8
10.5.2019 17:00:00	418	38		[DETCO]		24,9	1056,6	31,3
10.5.2019 18:00:00	430	40		[DETCO]		24,9	1056,6	31,6
10.5.2019 19:00:00	434	41		[DETCO]		24,8	1056,7	31,6
10.5.2019 20:00:00	398	41		[DETCO]		24,5	1056,7	32,0
10.5.2019 21:00:00	362	38		[DETCO]		24,3	1056,8	32,3
10.5.2019 22:00:00	390	39		[DETCO]		24,0	1056,8	32,5
10.5.2019 23:00:00	392	39		[DETCO]		23,8	1056,9	32,8
11.5.2019	370	38		[DETCO]		23,5	1057,0	32,8
11.5.2019 1:00:00	400	39		[DETCO]		23,3	1057,0	33,3
11.5.2019 2:00:00	384	39		[DETCO]		23,0	1057,1	33,3
11.5.2019 3:00:00	410	40		[DETCO]		22,8	1057,1	33,3
11.5.2019 4:00:00	354	39		[DETCO]		22,5	1057,2	33,8
11.5.2019 5:00:00	396	39		[DETCO]		22,5	1057,2	33,8
11.5.2019 6:00:00	318	36		[DETCO]		22,5	1057,2	33,8
11.5.2019 7:00:00	386	39	[PREA]	[DETCO]		22,5	1057,2	33,8
11.5.2019 8:00:00	380	39	[PREA]	[DETCO]		22,5	1057,2	33,5
11.5.2019 9:00:00	356	38		[DETCO]		22,6	1057,2	33,3
11.5.2019 10:00:00	378	38		[DETCO]		22,6	1057,2	33,3
11.5.2019 11:00:00	388	39		[DETCO]		22,8	1057,2	33,3
11.5.2019 12:00:00	366	38		[DETCO]		22,9	1057,1	33,3
11.5.2019 13:00:00	310	36		[DETCO]		22,9	1057,1	33,0
11.5.2019 14:00:00	376	38		[DETCO]		23,1	1057,1	32,8
11.5.2019 15:00:00	376	39		[DETCO]		23,3	1057,1	32,8
11.5.2019 16:00:00	378	38		[DETCO]		23,5	1057,0	32,8
11.5.2019 17:00:00	396	39		[DETCO]		23,5	1057,0	32,5
11.5.2019 18:00:00	330	37		[DETCO]		23,5	1057,0	32,5
11.5.2019 19:00:00	332	36		[DETCO]		23,5	1057,0	32,5
11.5.2019 20:00:00	360	38		[DETCO]		23,5	1057,0	32,8
11.5.2019 21:00:00	356	38		[DETCO]		23,5	1057,0	32,8
11.5.2019 22:00:00	326	37		[DETCO]		23,5	1057,0	32,8
11.5.2019 23:00:00	334	37		[DETCO]		23,4	1057,0	32,8
12.5.2019	292	35	[PREA]	[DETCO]		23,4	1057,0	32,8
12.5.2019 1:00:00	332	37	[PREA]	[DETCO]		23,3	1057,0	32,8
12.5.2019 2:00:00	308	37		[DETCO]		23,3	1057,0	32,8
12.5.2019 3:00:00	354	37		[DETCO]		23,3	1057,1	32,8
12.5.2019 4:00:00	292	35		[DETCO]		23,1	1057,1	32,8
12.5.2019 5:00:00	316	36		[DETCO]		23,1	1057,1	32,8
12.5.2019 6:00:00	300	35		[DETCO]		23,1	1057,1	32,8
12.5.2019 7:00:00	298	35		[DETCO]		23,1	1057,1	32,8
12.5.2019 8:00:00	302	34		[DETCO]		23,1	1057,1	32,8
12.5.2019 9:00:00	284	34		[DETCO]		23,1	1057,1	32,8
12.5.2019 10:00:00	340	37		[DETCO]		23,1	1057,1	32,8
12.5.2019 11:00:00	326	36		[DETCO]		23,1	1057,1	32,8
12.5.2019 12:00:00	255	33		[DETCO]		23,3	1057,1	32,8
12.5.2019 13:00:00	362	36		[DETCO]		23,4	1057,0	32,8
12.5.2019 14:00:00	268	34		[DETCO]		23,4	1057,0	32,8
12.5.2019 15:00:00	286	34		[DETCO]		23,5	1057,0	32,8
12.5.2019 16:00:00	304	35		[DETCO]		23,5	1057,0	32,5
12.5.2019 17:00:00	266	33	[PREA]	[DETCO]		23,6	1057,0	32,5
12.5.2019 18:00:00	304	35	[PREA]	[DETCO]		23,6	1057,0	32,5
12.5.2019 19:00:00	302	35		[DETCO]		23,6	1057,0	32,5
