záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	11.06.2019 16:36	287	2	36	34	0	25	51	9	1	
2	11.06.2019 17:36	254	4	25	37	1	25	51	9	1	
3	11.06.2019 18:36	184	1	19	26	0	25	51	9	1	
4	11.06.2019 19:36	191	2	22	25	0	25	50	9	1	
5	11.06.2019 20:36	183	6	24	21	1	25	50	9	1	
6	11.06.2019 21:36	340	2	43	40	0	25	51	9	1	
7	11.06.2019 22:36	237	2	28	30	0	25	51	9	1	
8	11.06.2019 23:36	279	3	33	35	0	25	51	9	1	
9	12.06.2019 00:36	262	3	32	32	0	25	51	9	1	
10	12.06.2019 01:36	315	5	39	38	0	25	51	9	1	
11	12.06.2019 02:36	196	6	24	24	0	25	51	9	1	
12	12.06.2019 03:36	213	6	29	23	0	25	51	9	1	
13	12.06.2019 04:36	164	4	17	23	0	25	51	9	1	
14	12.06.2019 05:36	196	1	23	25	0	25	51	9	1	
15	12.06.2019 06:36	221	5	31	23	0	25	51	9	1	
16	12.06.2019 07:36	205	3	24	25	0	26	51	9	1	
17	12.06.2019 08:36	243	6	28	30	0	26	51	9	1	
18	12.06.2019 09:36	243	3	30	28	0	26	51	9	1	
19	12.06.2019 10:36	227	5	31	25	0	25	50	9	1	
20	12.06.2019 11:36	231	4	28	29	0	25	50	9	1	
21	12.06.2019 12:36	256	5	29	34	0	25	50	9	1	
22	12.06.2019 13:36	282	6	32	38	0	25	49	9	1	
23	12.06.2019 14:36	243	7	30	29	0	26	49	9	1	
24	12.06.2019 15:36	210	5	18	33	0	26	49	9	1	
25	12.06.2019 16:36	297	1	25	47	0	26	49	9	1	
26	12.06.2019 17:36	210	4	24	27	0	26	49	9	1	
27	12.06.2019 18:36	235	1	20	37	0	26	49	9	1	
28	12.06.2019 19:36	243	5	31	28	0	26	49	9	1	
29	12.06.2019 20:36	268	3	26	39	0	26	49	9	1	
30	12.06.2019 21:36	244	3	25	35	0	25	50	9	1	
31	12.06.2019 22:36	268	8	28	38	0	25	50	9	1	
32	12.06.2019 23:36	240	3	35	24	0	25	50	9	1	
33	13.06.2019 00:36	288	3	38	33	0	25	50	9	1	
34	13.06.2019 01:36	382	7	44	50	0	25	50	9	1	
35	13.06.2019 02:36	378	5	52	41	0	25	50	9	1	
36	13.06.2019 03:36	349	6	43	43	0	25	50	9	1	
37	13.06.2019 04:36	353	4	37	50	0	25	50	9	1	
38	13.06.2019 05:36	264	7	30	35	0	25	50	9	1	
39	13.06.2019 06:36	288	7	35	36	0	25	50	9	1	
40	13.06.2019 07:36	301	4	32	42	0	25	50	9	1	
41	13.06.2019 08:36	294	5	36	37	0	25	49	9	1	
42	13.06.2019 09:36	289	3	31	39	0	26	49	9	1	
43	13.06.2019 10:36	298	2	35	38	0	26	48	9	1	
44	13.06.2019 11:36	298	2	37	36	0	26	48	9	1	
45	13.06.2019 12:36	253	6	34	28	0	26	48	9	1	
46	13.06.2019 13:36	286	0	27	43	0	26	48	9	1	
