záznam	èas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	23.05.2019 13:00	2286	152	1054	108	0	12	48	8	1	
2	23.05.2019 14:00	5589	414	1742	1101	1	11	51	7	1	
3	23.05.2019 15:00	4725	284	956	1388	0	11	54	7	1	
4	23.05.2019 16:00	3038	173	513	982	1	11	55	8	1	
5	23.05.2019 17:00	1746	112	269	577	0	11	57	7	1	
6	23.05.2019 18:00	1059	97	203	306	0	11	58	7	1	
7	23.05.2019 19:00	767	67	151	215	0	11	59	7	1	
8	23.05.2019 20:00	604	64	125	161	0	11	60	8	1	
9	23.05.2019 21:00	395	51	89	97	0	11	61	8	1	
10	23.05.2019 22:00	349	56	103	60	0	11	62	8	1	
11	23.05.2019 23:00	353	49	102	63	0	11	62	8	1	
12	24.05.2019 00:00	330	45	80	73	0	11	63	8	1	
13	24.05.2019 01:00	382	55	99	77	0	11	64	8	1	
14	24.05.2019 02:00	382	57	116	60	0	11	64	8	1	
15	24.05.2019 03:00	389	52	109	69	0	11	65	8	1	
16	24.05.2019 04:00	376	61	89	83	0	11	65	8	1	
17	24.05.2019 05:00	381	47	100	79	0	10	65	8	1	
18	24.05.2019 06:00	392	50	104	79	0	10	66	8	1	
19	24.05.2019 07:00	375	60	97	78	0	10	66	8	1	
20	24.05.2019 08:00	392	53	104	74	0	11	66	8	1	
21	24.05.2019 09:00	468	64	137	74	0	11	67	8	1	
22	24.05.2019 10:00	490	63	131	90	0	11	67	8	1	
23	24.05.2019 11:00	475	51	103	111	0	11	67	8	1	
24	24.05.2019 12:00	404	44	103	79	0	11	67	8	1	
25	24.05.2019 13:00	435	58	113	83	0	11	67	8	1	
26	24.05.2019 14:00	465	57	128	80	0	11	68	8	1	
27	24.05.2019 15:00	492	65	130	90	0	11	68	8	1	
28	24.05.2019 16:00	480	68	123	92	0	11	68	7	1	
29	24.05.2019 17:00	460	52	117	89	0	11	68	8	1	
30	24.05.2019 18:00	535	68	130	108	0	11	69	8	1	
31	24.05.2019 19:00	594	60	129	135	0	11	69	8	1	
32	24.05.2019 20:00	583	55	132	127	0	11	69	8	1	
33	24.05.2019 21:00	565	72	132	119	0	11	69	7	1	
34	24.05.2019 22:00	463	68	97	109	0	11	69	8	1	
35	24.05.2019 23:00	448	37	108	90	0	11	70	8	1	
36	25.05.2019 00:00	346	46	82	71	0	11	70	8	1	
37	25.05.2019 01:00	353	59	85	71	0	11	70	8	1	
38	25.05.2019 02:00	247	55	68	41	0	11	70	8	1	
39	25.05.2019 03:00	310	59	79	58	0	11	70	8	1	
40	25.05.2019 04:00	253	57	76	35	0	11	71	8	1	
41	25.05.2019 05:00	358	41	100	57	0	11	71	8	1	
42	25.05.2019 06:00	342	59	80	70	0	11	71	8	1	
43	25.05.2019 07:00	280	48	76	47	0	11	71	8	1	
44	25.05.2019 08:00	214	40	54	40	0	11	71	8	1	
45	25.05.2019 09:00	212	55	58	35	0	11	71	8	1	
46	25.05.2019 10:00	300	40	101	30	0	11	72	8	1	
47	25.05.2019 11:00	387	50	118	51	0	11	72	8	1	
48	25.05.2019 12:00	505	71	144	76	0	11	72	8	1	
49	25.05.2019 13:00	654	53	169	116	0	11	72	8	1	
50	25.05.2019 14:00	649	55	149	134	0	11	72	8	1	
51	25.05.2019 15:00	635	51	143	126	0	12	72	8	1	
52	25.05.2019 16:00	576	53	132	112	0	12	72	8	1	
53	25.05.2019 17:00	528	46	118	107	0	12	71	8	1	
54	25.05.2019 18:00	481	52	104	100	0	12	72	8	1	
55	25.05.2019 19:00	318	40	70	65	0	12	72	8	1	
56	25.05.2019 20:00	394	56	113	54	0	12	72	8	1	
57	25.05.2019 21:00	505	53	124	90	0	12	72	8	1	
58	25.05.2019 22:00	511	50	120	95	0	12	73	8	1	
59	25.05.2019 23:00	542	40	116	112	0	12	73	8	1	
60	26.05.2019 00:00	425	54	96	83	0	12	73	8	1	
61	26.05.2019 01:00	381	40	98	67	0	11	73	8	1	
62	26.05.2019 02:00	297	43	76	52	0	11	74	8	1	
63	26.05.2019 03:00	334	35	76	68	0	11	74	8	1	
64	26.05.2019 04:00	232	38	63	37	0	11	74	8	1	
65	26.05.2019 05:00	290	38	80	45	0	11	74	8	1	
66	26.05.2019 06:00	276	51	73	46	0	11	74	8	1	
67	26.05.2019 07:00	325	40	87	53	0	11	74	8	1	
68	26.05.2019 08:00	288	47	69	55	0	11	74	8	1	
69	26.05.2019 09:00	279	48	77	39	0	12	75	8	1	
70	26.05.2019 10:00	353	42	108	39	0	12	75	8	1	
71	26.05.2019 11:00	498	60	121	86	0	12	75	8	1	
72	26.05.2019 12:00	572	44	138	100	0	12	75	8	1	
73	26.05.2019 13:00	611	50	145	109	0	12	75	8	1	
74	26.05.2019 14:00	642	56	142	125	0	12	75	7	1	
75	26.05.2019 15:00	608	61	145	108	0	12	75	8	1	
76	26.05.2019 16:00	688	55	150	136	0	12	75	8	1	
77	26.05.2019 17:00	758	45	174	141	0	12	75	8	1	
78	26.05.2019 18:00	654	44	133	139	0	12	75	8	1	
79	26.05.2019 19:00	765	58	175	143	0	12	75	8	1	
80	26.05.2019 20:00	743	49	177	132	0	12	75	8	1	
81	26.05.2019 21:00	937	59	220	167	0	12	76	8	1	
82	26.05.2019 22:00	854	53	186	167	0	12	76	8	1	
83	26.05.2019 23:00	823	41	163	177	1	12	76	8	1	
84	27.05.2019 00:00	731	52	162	140	0	12	76	8	1	
85	27.05.2019 01:00	825	45	187	154	0	12	76	8	1	
86	27.05.2019 02:00	830	50	194	149	0	12	76	8	1	
87	27.05.2019 03:00	762	46	163	152	0	12	76	7	1	
88	27.05.2019 04:00	755	47	175	137	0	12	76	8	1	
89	27.05.2019 05:00	837	40	192	154	0	12	76	8	1	
90	27.05.2019 06:00	736	36	169	135	0	12	76	8	1	
91	27.05.2019 07:00	655	29	121	148	0	12	77	8	1	
92	27.05.2019 08:00	579	36	136	102	0	12	77	8	1	
93	27.05.2019 09:00	701	47	168	120	0	12	77	8	1	
94	27.05.2019 10:00	862	49	203	151	0	12	77	8	1	
95	27.05.2019 11:00	1023	53	259	161	0	12	77	8	1	
96	27.05.2019 12:00	1145	47	264	206	0	12	77	8	1	
