zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
667,23.05.2019 13:27,6881.759999999999,703.0991577346161,16,49
666,23.05.2019 14:27,7489.44,763.6133132409261,15,50
665,23.05.2019 15:27,6321.599999999999,646.9320864616448,15,51
664,23.05.2019 16:27,5633.28,578.2098014854927,15,52
663,23.05.2019 17:27,4597.92,474.6277991651225,15,52
662,23.05.2019 18:27,3702.24,385.1342721195365,15,53
661,23.05.2019 19:27,3300.48,344.92240966841433,15,53
660,23.05.2019 20:27,2953.44,310.17962952530786,15,53
659,23.05.2019 21:27,2966.4,311.6008869099397,15,54
658,23.05.2019 22:27,2607.8399999999997,275.6977883441983,15,54
657,23.05.2019 23:27,2279.52,242.8078857698438,15,54
656,24.05.2019 0:27,1807.2,195.0618129600141,14,54
655,24.05.2019 1:27,1486.08,162.95659348785486,14,55
654,24.05.2019 2:27,1411.2,155.43838654573165,14,55
653,24.05.2019 3:27,1257.12,139.94373952427551,14,55
652,24.05.2019 4:27,1265.76,140.80860012819443,14,55
651,24.05.2019 5:27,1094.3999999999999,123.56184453210393,14,55
650,24.05.2019 6:27,1080.0,122.1188972667125,14,55
649,24.05.2019 7:27,1146.24,128.79102813766144,14,55
648,24.05.2019 8:27,1080.0,122.1188972667125,14,55
647,24.05.2019 9:27,878.4,101.77566175676479,14,55
646,24.05.2019 10:27,924.48,106.79437387157655,15,55
645,24.05.2019 11:27,1131.84,127.71369021806062,15,55
644,24.05.2019 12:27,1196.6399999999999,134.23708538011704,15,55
643,24.05.2019 13:27,1379.52,152.63597077345548,15,55
642,24.05.2019 14:27,1344.96,149.15631003841526,15,55
641,24.05.2019 15:27,1369.44,151.61461265131595,15,55
640,24.05.2019 16:27,1527.84,167.5358000878043,15,55
639,24.05.2019 17:27,1301.76,144.81339535368346,15,55
638,24.05.2019 18:27,1116.0,126.11334830420851,15,55
637,24.05.2019 19:27,1091.52,123.64980791527505,15,55
636,24.05.2019 20:27,1104.48,124.96311659462569,15,55
635,24.05.2019 21:27,1038.24,118.26911928309941,15,55
634,24.05.2019 22:27,1340.6399999999999,148.83870410365648,15,56
633,24.05.2019 23:27,1287.36,143.47745600854097,15,56
632,25.05.2019 0:27,1396.8,154.48470881334129,15,56
631,25.05.2019 1:27,1421.28,156.94035087054067,15,56
630,25.05.2019 2:27,1378.08,152.60295327767372,15,56
629,25.05.2019 3:27,1346.3999999999999,149.41288297867757,15,56
628,25.05.2019 4:27,1231.2,137.82647802787974,15,56
627,25.05.2019 5:27,1185.12,133.19598924260364,15,56
626,25.05.2019 6:27,1163.52,131.02374463593839,15,56
625,25.05.2019 7:27,1175.04,132.17251845837185,15,56
624,25.05.2019 8:27,1402.56,155.05884219869566,15,56
623,25.05.2019 9:27,1399.6799999999998,154.77177336687382,15,56
622,25.05.2019 10:27,1278.72,142.61612021770617,15,56
621,25.05.2019 11:27,1365.12,151.29511716591045,15,56
620,25.05.2019 12:27,1327.68,147.5303883666197,15,56
619,25.05.2019 13:27,1284.48,143.1903395515675,15,56
618,25.05.2019 14:27,1192.32,134.191188646647,16,55
617,25.05.2019 15:27,807.8399999999999,95.36963621977863,16,55
616,25.05.2019 16:27,397.44,53.32217141865098,16,55
615,25.05.2019 17:27,313.92,44.73693552404404,17,54
614,25.05.2019 18:27,145.44,25.91083316164177,16,55
613,25.05.2019 19:27,120.96,23.050986854088666,16,56
612,25.05.2019 20:27,201.6,32.42754384778471,16,56
611,25.05.2019 21:27,465.12,60.545055487628375,16,57
610,25.05.2019 22:27,711.36,85.79324403153517,16,57
609,25.05.2019 23:27,738.72,88.66266987257896,16,58
608,26.05.2019 0:27,649.4399999999999,79.21583841631671,15,58
607,26.05.2019 1:27,462.24,60.08506918327232,15,59
606,26.05.2019 2:27,414.71999999999997,55.162916774559,15,59
605,26.05.2019 3:27,367.2,50.20800698312363,15,59
604,26.05.2019 4:27,322.56,45.503819525898535,15,59
603,26.05.2019 5:27,299.52,43.02914981483173,15,59
602,26.05.2019 6:27,253.44,38.14943670370673,15,60
601,26.05.2019 7:27,362.88,49.821134502488434,15,60
600,26.05.2019 8:27,469.44,61.02097368768465,15,61
599,26.05.2019 9:27,603.36,74.8174771233084,15,61
598,26.05.2019 10:27,704.16,84.98546114886317,15,60
597,26.05.2019 11:27,915.8399999999999,106.84406387798948,16,60
596,26.05.2019 12:27,853.92,100.58861902796701,16,60
595,26.05.2019 13:27,816.48,96.77469511252131,16,60
594,26.05.2019 14:27,910.0799999999999,106.27444786537782,16,60
593,26.05.2019 15:27,892.8,104.51368522829915,16,60
592,26.05.2019 16:27,737.28,88.73220680176006,16,60
591,26.05.2019 17:27,830.88,98.25507754575288,16,60
590,26.05.2019 18:27,807.8399999999999,95.92010852753673,16,60
589,26.05.2019 19:27,760.3199999999999,91.07296305519094,16,60
588,26.05.2019 20:27,737.28,88.73220680176006,16,60
587,26.05.2019 21:27,770.4,92.10016968851014,16,60
586,26.05.2019 22:27,864.0,101.61248905048276,16,60
585,26.05.2019 23:27,953.28,110.64711647395063,16,60
584,27.05.2019 0:27,856.8,100.87343271162644,16,60
583,27.05.2019 1:27,948.9599999999999,110.19513995796456,16,60
582,27.05.2019 2:27,992.16,114.5647686158358,16,60
581,27.05.2019 3:27,1029.6,118.36117022096887,16,60
580,27.05.2019 4:27,976.3199999999999,113.07188986926639,16,61
579,27.05.2019 5:27,1019.52,117.4351355299647,16,61
578,27.05.2019 6:27,823.68,97.6280874856476,16,61
577,27.05.2019 7:27,819.36,97.17292023865144,16,61
576,27.05.2019 8:27,930.24,108.420776525773,16,61
575,27.05.2019 9:27,1009.4399999999999,116.41574422867737,16,61
574,27.05.2019 10:27,983.52,113.80746128588838,16,61
573,27.05.2019 11:27,917.28,107.11522672507228,16,61
572,27.05.2019 12:27,917.28,107.11522672507228,16,61
571,27.05.2019 13:27,823.68,97.6280874856476,16,61
570,27.05.2019 14:27,803.52,95.57963313805392,16,61
569,27.05.2019 15:27,722.88,87.37073182676622,16,61
568,27.05.2019 16:27,699.8399999999999,85.02956570847242,16,61
567,27.05.2019 17:27,872.64,102.5743458164083,16,61
566,27.05.2019 18:27,1054.08,120.9418749530722,16,61
565,27.05.2019 19:27,1077.12,123.26307918987104,16,61
564,27.05.2019 20:27,1257.12,141.40515761539046,16,61
563,27.05.2019 21:27,1336.32,149.48017707902906,16,62
562,27.05.2019 22:27,1366.56,152.52304940687966,16,62
561,27.05.2019 23:27,1159.2,131.65241509368522,16,62
560,28.05.2019 0:27,1154.8799999999999,131.20461890905275,16,62
559,28.05.2019 1:27,1128.96,128.60331417191392,16,62
558,28.05.2019 2:27,1251.36,141.03611472626818,16,63
557,28.05.2019 3:27,1157.76,131.6184046768696,16,63
556,28.05.2019 4:27,1157.76,131.6184046768696,16,63
555,28.05.2019 5:27,1188.0,134.66388928336755,16,63
554,28.05.2019 6:27,1308.96,146.83695621001974,16,63
553,28.05.2019 7:27,1186.56,134.6291453489151,16,64
552,28.05.2019 8:27,987.8399999999999,114.65849229777967,16,65
551,28.05.2019 9:27,744.48,89.9814110646178,16,65
550,28.05.2019 10:27,479.52,62.877935800046906,16,66
