zona;plyn;R_d;R_d_err;p;T;odpary
1;1;72,04204;4,6333300602677;100000;12,9;0
1;2;68,993295248;2,46469858586828;100000;12,9;0
1;3;290,5243;52,097181847959;100000;12,9;192,502912054205
1;4;41,3773216;4,72078927051988;100000;12,9;0
1;5;383,68254;29,052449877604;100000;12,9;193,552432841535
1;6;0;0;100000;12,9;0
2;1;1682,61212;89,1430030133431;100000;20;339,75556099788
2;2;1302,5314;38,1312775184215;100000;20;358,469359215765
2;3;150,07799;15,7750629649849;100000;20;0
2;4;157,44693;4,03345688368194;100000;20;0
2;5;164,83252;8,28773736211989;100000;20;0
2;6;15,6564;0,748337823484341;100000;20;0
3;1;203,39336;9,15292194744986;100000;16,2;0
3;2;188,99627368;4,73052974457402;100000;16,2;0
3;3;80,60117935;9,66479766354584;100000;16,2;0
3;4;728,63548;18,2187288670778;100000;16,2;230,880989782151
3;5;99,90569;4,99849348583921;100000;16,2;0
3;6;547,57801;16,4387290680847;100000;16,2;96,5385578564025
